dataset,detector,detector_category,scenario,n_runs,n_reference_anomalies,n_detected_mean,n_detected_std,Precision_mean,Precision_std,Recall_mean,Recall_std,F1_mean,F1_std,Specificity_mean,FalsePositiveRate_mean,BalancedAccuracy_mean,training_time_mean_sec,inference_latency_mean_sec,model_size_mean_bytes,metric_status,F1_rank_within_dataset_scenario
cholera,NFGA-LINEAR residual detector,forecast_residual_detector,injected_10pct,10,8,7.8,0.9189365834726815,0.519047619047619,0.058823035384919765,0.5,0.0,0.5078431372549019,0.028935874014612648,,,,0.7975788800998999,7.423272144521537e-05,2120.0,applicable,1.0
cholera,Robust-Z,independent_point_detector,injected_10pct,1,8,2.0,,1.0,,0.25,,0.4,,1.0,0.0,0.625,0.0,1.5621190500713141e-06,16.0,applicable,2.0
cholera,IsolationForest,independent_window_detector,injected_10pct,10,8,52.8,13.579396157414363,0.12605575061521876,0.03144161944020035,0.7875,0.10290907529357059,0.21503422985172022,0.04383609811060207,0.38815789473684215,0.6118421052631579,0.5878289473684211,0.6280578937999962,0.0003487640559547972,3828105.4,applicable,3.0
cholera,LocalOutlierFactor,independent_window_detector,injected_10pct,1,8,84.0,,0.09523809523809523,,1.0,,0.17391304347826086,,0.0,1.0,0.5,0.037104326999724435,1.9168059528359056e-05,136035.0,applicable,4.0
cholera,OneClassSVM,independent_window_detector,injected_10pct,1,8,84.0,,0.09523809523809523,,1.0,,0.17391304347826086,,0.0,1.0,0.5,0.0027712869996321388,1.2233035715239349e-05,27790.0,applicable,4.0
cholera,Robust-Z,independent_point_detector,injected_5pct,1,4,2.0,,1.0,,0.5,,0.6666666666666666,,1.0,0.0,0.75,0.0,1.6634285743965024e-06,16.0,applicable,1.0
cholera,NFGA-LINEAR residual detector,forecast_residual_detector,injected_5pct,10,4,8.8,0.9189365834726815,0.45888888888888885,0.04627406873817919,1.0,0.0,0.6278388278388278,0.043962826772835494,,,,0.7975788800998999,8.093239167096056e-05,2120.0,applicable,2.0
cholera,IsolationForest,independent_window_detector,injected_5pct,10,4,68.7,5.143496432929214,0.05853763480598667,0.004670767986855266,1.0,0.0,0.11056798485201562,0.008301487239608768,0.19125,0.8087500000000001,0.595625,0.6280578937999962,0.000288604217858587,3828105.4,applicable,3.0
cholera,LocalOutlierFactor,independent_window_detector,injected_5pct,1,4,84.0,,0.047619047619047616,,1.0,,0.09090909090909091,,0.0,1.0,0.5,0.037104326999724435,2.020030952042448e-05,136035.0,applicable,4.0
cholera,OneClassSVM,independent_window_detector,injected_5pct,1,4,84.0,,0.047619047619047616,,1.0,,0.09090909090909091,,0.0,1.0,0.5,0.0027712869996321388,1.095519048379044e-05,27790.0,applicable,4.0
