dataset,detector,detector_category,stochastic,seed,scenario,window_size,n_fit_windows,n_validation_windows,validation_target_fpr,score_threshold,training_time_sec,inference_latency_sec,model_size_bytes,TP,FP,TN,FN,n_reference_anomalies,n_detected,Precision,Recall,F1,Specificity,FalsePositiveRate,BalancedAccuracy,metric_status
cholera,IsolationForest,independent_window_detector,True,11,injected_5pct,52,226,56,0.05,-0.05032238729844096,0.9008668149999721,0.0004633725238168803,3728100,4,69,11,0,4,73,0.0547945205479452,1.0,0.1038961038961039,0.1375,0.8625,0.56875,applicable
cholera,IsolationForest,independent_window_detector,True,11,injected_10pct,52,226,56,0.05,-0.05032238729844096,0.9008668149999721,0.00096146583333783,3728100,7,49,27,1,8,56,0.125,0.875,0.21875,0.35526315789473684,0.6447368421052632,0.6151315789473684,applicable
cholera,IsolationForest,independent_window_detector,True,11,proxy_robust_z,52,226,56,0.05,-0.05032238729844096,0.9008668149999721,0.00021602757142534843,3728100,0,28,56,0,0,28,,,,0.6666666666666666,0.3333333333333333,,not_applicable_no_positive_reference
cholera,IsolationForest,independent_window_detector,True,22,injected_5pct,52,226,56,0.05,-0.03802851236156296,0.5731548750000002,0.00023628019047940878,3888648,4,64,16,0,4,68,0.058823529411764705,1.0,0.1111111111111111,0.2,0.8,0.6,applicable
cholera,IsolationForest,independent_window_detector,True,22,injected_10pct,52,226,56,0.05,-0.03802851236156296,0.5731548750000002,0.00030414752380974753,3888648,6,53,23,2,8,59,0.1016949152542373,0.75,0.1791044776119403,0.3026315789473684,0.6973684210526315,0.5263157894736842,applicable
cholera,IsolationForest,independent_window_detector,True,22,proxy_robust_z,52,226,56,0.05,-0.03802851236156296,0.5731548750000002,0.00021054158332844963,3888648,0,39,45,0,0,39,,,,0.5357142857142857,0.4642857142857143,,not_applicable_no_positive_reference
cholera,IsolationForest,independent_window_detector,True,33,injected_5pct,52,226,56,0.05,-0.05631230861936426,0.5395388660008393,0.00020584982143017917,3836710,4,72,8,0,4,76,0.05263157894736842,1.0,0.1,0.1,0.9,0.55,applicable
cholera,IsolationForest,independent_window_detector,True,33,injected_10pct,52,226,56,0.05,-0.05631230861936426,0.5395388660008393,0.0003514387261973406,3836710,6,63,13,2,8,69,0.08695652173913043,0.75,0.15584415584415584,0.17105263157894737,0.8289473684210527,0.4605263157894737,applicable
cholera,IsolationForest,independent_window_detector,True,33,proxy_robust_z,52,226,56,0.05,-0.05631230861936426,0.5395388660008393,0.0002935519404824542,3836710,0,33,51,0,0,33,,,,0.6071428571428571,0.39285714285714285,,not_applicable_no_positive_reference
cholera,IsolationForest,independent_window_detector,True,44,injected_5pct,52,226,56,0.05,-0.04149613551322978,0.544426385999941,0.00020994603571688501,3862943,4,67,13,0,4,71,0.056338028169014086,1.0,0.10666666666666667,0.1625,0.8375,0.58125,applicable
cholera,IsolationForest,independent_window_detector,True,44,injected_10pct,52,226,56,0.05,-0.04149613551322978,0.544426385999941,0.00021079735714530607,3862943,6,55,21,2,8,61,0.09836065573770492,0.75,0.17391304347826086,0.27631578947368424,0.7236842105263158,0.5131578947368421,applicable
