dataset,detector,detector_category,scenario,n_runs,n_reference_anomalies,n_detected_mean,n_detected_std,Precision_mean,Precision_std,Recall_mean,Recall_std,F1_mean,F1_std,Specificity_mean,FalsePositiveRate_mean,BalancedAccuracy_mean,metric_status,interpretation
cholera,IsolationForest,independent_window_detector,proxy_robust_z,10,0,27.5,11.76860229593982,,,,,,,0.6726190476190477,0.3273809523809524,,not_applicable_no_positive_reference,Exploratory agreement with proxy labels only; not verified ground-truth anomaly performance.
cholera,LocalOutlierFactor,independent_window_detector,proxy_robust_z,1,0,75.0,,,,,,,,0.1071428571428571,0.8928571428571429,,not_applicable_no_positive_reference,Exploratory agreement with proxy labels only; not verified ground-truth anomaly performance.
cholera,NFGA-LINEAR residual detector,forecast_residual_detector,proxy_robust_z,10,0,0.8,0.9189365834726815,,,,,,,0.9904761904761905,0.009523809523809523,,not_applicable_no_positive_reference,Exploratory agreement with proxy labels only; not verified ground-truth anomaly performance.
cholera,OneClassSVM,independent_window_detector,proxy_robust_z,1,0,49.0,,,,,,,,0.4166666666666667,0.5833333333333334,,not_applicable_no_positive_reference,Exploratory agreement with proxy labels only; not verified ground-truth anomaly performance.
cholera,Robust-Z,independent_point_detector,proxy_robust_z,1,0,0.0,,,,,,,,1.0,0.0,,not_applicable_no_positive_reference,"Circular sanity check: labels were generated by the same Robust-Z rule, so F1 is not an independent performance estimate."
electricity,IsolationForest,independent_window_detector,proxy_robust_z,10,0,1.3,1.2516655570345725,,,,,,,0.9690476190476188,0.0309523809523809,,not_applicable_no_positive_reference,Exploratory agreement with proxy labels only; not verified ground-truth anomaly performance.
electricity,LocalOutlierFactor,independent_window_detector,proxy_robust_z,1,0,1.0,,,,,,,,0.9761904761904762,0.0238095238095238,,not_applicable_no_positive_reference,Exploratory agreement with proxy labels only; not verified ground-truth anomaly performance.
electricity,NFGA-LINEAR residual detector,forecast_residual_detector,proxy_robust_z,10,0,0.0,0.0,,,,,,,1.0,0.0,,not_applicable_no_positive_reference,Exploratory agreement with proxy labels only; not verified ground-truth anomaly performance.
electricity,OneClassSVM,independent_window_detector,proxy_robust_z,1,0,20.0,,,,,,,,0.5238095238095238,0.4761904761904761,,not_applicable_no_positive_reference,Exploratory agreement with proxy labels only; not verified ground-truth anomaly performance.
electricity,Robust-Z,independent_point_detector,proxy_robust_z,1,0,0.0,,,,,,,,1.0,0.0,,not_applicable_no_positive_reference,"Circular sanity check: labels were generated by the same Robust-Z rule, so F1 is not an independent performance estimate."
ilinet,IsolationForest,independent_window_detector,proxy_robust_z,10,11,15.3,1.4944341180973264,0.0614460784313725,0.0491185072589803,0.0909090909090909,0.0742269619025205,0.0733007733007733,0.0590783206886625,0.651219512195122,0.348780487804878,0.3710643015521064,applicable,Exploratory agreement with proxy labels only; not verified ground-truth anomaly performance.
ilinet,LocalOutlierFactor,independent_window_detector,proxy_robust_z,1,11,20.0,,0.15,,0.2727272727272727,,0.1935483870967742,,0.5853658536585366,0.4146341463414634,0.4290465631929046,applicable,Exploratory agreement with proxy labels only; not verified ground-truth anomaly performance.
ilinet,NFGA-LINEAR residual detector,forecast_residual_detector,proxy_robust_z,10,11,7.2,0.6324555320336758,1.0,0.0,0.6545454545454545,0.05749595745760692,0.7898864809081527,0.042317347799989274,1.0,0.0,0.8272727272727272,applicable,Exploratory agreement with proxy labels only; not verified ground-truth anomaly performance.
ilinet,OneClassSVM,independent_window_detector,proxy_robust_z,1,11,23.0,,0.1739130434782608,,0.3636363636363636,,0.2352941176470588,,0.5365853658536586,0.4634146341463415,0.4501108647450111,applicable,Exploratory agreement with proxy labels only; not verified ground-truth anomaly performance.
ilinet,Robust-Z,independent_point_detector,proxy_robust_z,1,11,11.0,,1.0,,1.0,,1.0,,1.0,0.0,1.0,applicable,"Circular sanity check: labels were generated by the same Robust-Z rule, so F1 is not an independent performance estimate."
