dataset,detector,detector_category,scenarios,macro_Precision,macro_Recall,macro_F1,macro_FalsePositiveRate,macro_BalancedAccuracy,macro_F1_rank
cholera,NFGA-LINEAR residual detector,forecast_residual_detector,2,0.4889682539682539,0.75,0.5678409825468649,0.055,0.8474999999999999,1.0
cholera,Robust-Z,independent_point_detector,2,1.0,0.375,0.5333333333333333,0.0,0.6875,2.0
cholera,IsolationForest,independent_window_detector,2,0.09229669271060265,0.89375,0.1628011073518679,0.7102960526315789,0.5917269736842106,3.0
cholera,LocalOutlierFactor,independent_window_detector,2,0.0714285714285714,1.0,0.13241106719367585,1.0,0.5,4.0
cholera,OneClassSVM,independent_window_detector,2,0.0714285714285714,1.0,0.13241106719367585,1.0,0.5,4.0
cholera,Prophet residual detector,forecast_residual_detector,2,0.0683480939545629,0.6875,0.12280701754385959,0.6088815789473685,0.5393092105263158,6.0
electricity,Prophet residual detector,forecast_residual_detector,2,1.0,1.0,1.0,0.0,1.0,1.0
electricity,NFGA-LINEAR residual detector,forecast_residual_detector,2,0.4711111111111111,1.0,0.6395604395604395,0.08934210526315785,0.955328947368421,2.0
electricity,Robust-Z,independent_point_detector,2,0.5,0.125,0.2,0.0,0.5625,3.0
electricity,LocalOutlierFactor,independent_window_detector,2,0.09903381642512075,1.0,0.18,0.6835526315789473,0.6582236842105263,4.0
electricity,OneClassSVM,independent_window_detector,2,0.08354011579818024,1.0,0.15362931642001404,0.8230263157894736,0.5884868421052631,5.0
electricity,IsolationForest,independent_window_detector,2,0.0538116842448739,0.375,0.09407243813189145,0.4814473684210526,0.44677631578947363,6.0
ilinet,NFGA-LINEAR residual detector,forecast_residual_detector,2,0.313013653013653,0.99,0.46692036463708286,0.1857794181502388,0.9021102909248806,1.0
ilinet,Prophet residual detector,forecast_residual_detector,2,0.2857142857142857,0.5333333333333333,0.3666666666666667,0.1042118975249674,0.714560717904183,2.0
ilinet,IsolationForest,independent_window_detector,2,0.07083091744856446,0.26666666666666666,0.1087216580289335,0.28382544507164564,0.49142061079751054,3.0
ilinet,OneClassSVM,independent_window_detector,2,0.04816017316017315,0.43333333333333335,0.08585858585858586,0.6035605731654364,0.4148863800839485,4.0
ilinet,LocalOutlierFactor,independent_window_detector,2,0.037037037037037,0.3333333333333333,0.06666666666666665,0.4253148067737733,0.45400926327978,5.0
ilinet,Robust-Z,independent_point_detector,2,0.0,0.0,0.0,0.19735128093790705,0.40132435953104645,6.0
