dataset,model,RMSE_mean,RMSE_std,MAE_mean,MAE_std,sMAPE_mean,sMAPE_std,R2_mean,R2_std,n_runs,result_type,RMSE_rank,MAE_rank,sMAPE_rank,R2_rank
cholera,Persistence,96.03446801861844,,55.16666666666666,,18.705881959035032,,0.952239056219302,,1,single_deterministic_run,1,1,1,1
cholera,ARIMA,103.00935483779206,,60.95913606242964,,21.457558861404472,,0.9450494600195344,,1,single_deterministic_run,2,2,2,2
cholera,NFGA-LINEAR,136.0722959320049,41.78935174461751,110.95992734876197,48.9630257014377,59.17035447242714,29.72538551653017,0.8959739696611353,0.0690079135347253,10,multiseed_mean,3,3,3,3
cholera,LSTM,193.8036832164985,31.84073163772589,140.93828139383112,31.61113866983497,81.10096185278707,30.172832415564045,0.8007643879925268,0.0648957010251677,10,multiseed_mean,4,4,5,4
cholera,XGBoost,391.6312026277968,24.706919431687083,295.07156304386035,17.132350800208417,68.50885539462114,3.787099031186264,0.2028756709536147,0.1024790780998427,10,multiseed_mean,5,5,4,5
cholera,NFGA-Core,459.7289962524375,118.3822796662578,376.7040644229797,80.94565366487578,98.55352611455211,34.80816517834433,-0.1598350279123599,0.5984661686539015,10,multiseed_mean,6,6,6,6
cholera,SeasonalNaive,618.7376838601084,,488.9880952380952,,126.52456625652128,,-0.982584765840426,,1,single_deterministic_run,7,7,7,7
cholera,Prophet,1158.8843273950183,,860.1895015640274,,163.16312267336676,,-5.955026823914625,,1,single_deterministic_run,8,8,8,8
electricity,Prophet,0.1300183616937198,,0.1004125849612285,,10.60053831155759,,0.6872138254570399,,1,single_deterministic_run,1,1,1,1
electricity,XGBoost,0.1300194254489705,0.0015603668103739,0.1050783001822047,0.001966350961896,11.80197428903186,0.2486930822664221,0.6871681625680536,0.0075186441463541,10,multiseed_mean,2,2,3,2
electricity,LSTM,0.1384085836560772,0.0046090844258887,0.1061054672921301,0.0019183067764371,11.44236811702732,0.2161422335569736,0.6451886991593078,0.0236811616025937,10,multiseed_mean,3,3,2,3
electricity,NFGA-LINEAR,0.1478632881374185,0.0031219859497253,0.113393599490083,0.0035836285573955,12.07877790382091,0.3008088951996234,0.5953000951448085,0.0171463419550733,10,multiseed_mean,4,4,4,4
electricity,ARIMA,0.1486695449156054,,0.1183145476658612,,12.52688762098865,,0.5910387176950418,,1,single_deterministic_run,5,6,6,5
electricity,SeasonalNaive,0.1526233789136536,,0.1200232543550939,,13.17018977037874,,0.5689969950521717,,1,single_deterministic_run,6,7,7,6
electricity,NFGA-Core,0.1553092393851189,0.0105782579299834,0.113837948402186,0.0075280690113818,12.38732837204379,0.8480458988900116,0.5518305567800307,0.0609486038873975,10,multiseed_mean,7,5,5,7
electricity,Persistence,0.1606253833617671,,0.1244958175320919,,13.19033911160045,,0.5226174673317705,,1,single_deterministic_run,8,8,8,8
ilinet,ARIMA,0.395145761258978,,0.223640266941239,,6.124751535543743,,0.957766182252635,,1,single_deterministic_run,1,1,1,1
ilinet,NFGA-LINEAR,0.4421830420553654,0.014282300568139,0.2615064839593851,0.0098659683003759,7.898919482140462,0.9758252136493246,0.9470632304945285,0.0034427883958704,10,multiseed_mean,2,2,2,2
ilinet,Persistence,0.5017354080147914,,0.3202559615384616,,8.935494838522438,,0.9319081415376638,,1,single_deterministic_run,3,3,3,3
ilinet,XGBoost,0.7008534207522598,0.0168705975406411,0.3749787010654533,0.0086728606313166,10.12030621175671,0.2388027385884767,0.8670689289829692,0.0063811324150571,10,multiseed_mean,4,4,4,4
ilinet,NFGA-Core,0.7413542410384759,0.0448555034436774,0.4942539991642897,0.0617475383440462,16.85249247676825,3.240511974646345,0.8508491342681326,0.0182923637159624,10,multiseed_mean,5,6,6,5
ilinet,LSTM,0.7538869622349782,0.0700787559247926,0.4545054750599633,0.0557941155291782,14.09679105151631,1.710534364561351,0.8450746370207819,0.0299020082171708,10,multiseed_mean,6,5,5,6
ilinet,SeasonalNaive,1.0247880784853858,,0.6474390384615385,,19.21057219517211,,0.7159375585705807,,1,single_deterministic_run,7,7,7,7
ilinet,Prophet,1.5269616589557655,,1.339328853977661,,45.408696091550944,,0.3693303221639892,,1,single_deterministic_run,8,8,8,8
