dataset,model,seed,scenario,n_eval,training_time_sec,mean_inference_latency_sec,model_size_bytes,threshold,n_estimators,max_depth,learning_rate,RMSE,MAE,sMAPE,R2,R2_manual,n_reference_anomalies,n_detected,Precision,Recall,F1,metric_status
cholera,XGBoost,11,forecast_original,84,1.0622971520001556,0.0005662851071270953,573503,365.8738648466183,400,4,0.05,398.4021704688548,299.0808568176533,68.49565454643944,0.17801854059453004,0.17801854059453004,0,41,,,,forecast_only
cholera,XGBoost,11,injected_5pct,84,1.0622971520001556,0.0005439552261566947,573503,365.8738648466183,400,4,0.05,,,,,,4,37,0.10810810810810811,1.0,0.1951219512195122,applicable
cholera,XGBoost,11,injected_10pct,84,1.0622971520001556,0.0008996194047659585,573503,365.8738648466183,400,4,0.05,,,,,,8,30,0.13333333333333333,0.5,0.21052631578947367,applicable
cholera,XGBoost,11,proxy_robust_z,84,1.0622971520001556,0.0005443288690793495,573503,365.8738648466183,400,4,0.05,,,,,,0,41,,,,not_applicable_no_positive_reference
cholera,XGBoost,22,forecast_original,84,1.0287796779998644,0.0005494340714340936,572415,365.8738648466183,400,4,0.05,443.5355453105554,334.0070182489878,77.82424829876832,-0.018768458958715817,-0.018768458958715817,0,41,,,,forecast_only
cholera,XGBoost,22,injected_5pct,84,1.0287796779998644,0.0005279589404651796,572415,365.8738648466183,400,4,0.05,,,,,,4,38,0.10526315789473684,1.0,0.19047619047619047,applicable
cholera,XGBoost,22,injected_10pct,84,1.0287796779998644,0.0005292295238199412,572415,365.8738648466183,400,4,0.05,,,,,,8,30,0.13333333333333333,0.5,0.21052631578947367,applicable
cholera,XGBoost,22,proxy_robust_z,84,1.0287796779998644,0.0005580290714122038,572415,365.8738648466183,400,4,0.05,,,,,,0,41,,,,not_applicable_no_positive_reference
cholera,XGBoost,33,forecast_original,84,0.9588816659997974,0.0005144921071318787,571055,365.8738648466183,400,4,0.05,371.22951142430753,278.8229619311037,64.66458796580073,0.2863198498189323,0.2863198498189323,0,39,,,,forecast_only
cholera,XGBoost,33,injected_5pct,84,0.9588816659997974,0.000577627059512798,571055,365.8738648466183,400,4,0.05,,,,,,4,35,0.11428571428571428,1.0,0.20512820512820512,applicable
cholera,XGBoost,33,injected_10pct,84,0.9588816659997974,0.001344480178545382,571055,365.8738648466183,400,4,0.05,,,,,,8,30,0.13333333333333333,0.5,0.21052631578947367,applicable
cholera,XGBoost,33,proxy_robust_z,84,0.9588816659997974,0.0011375325595151611,571055,365.8738648466183,400,4,0.05,,,,,,0,39,,,,not_applicable_no_positive_reference
cholera,XGBoost,44,forecast_original,84,2.9992267849997916,0.0010300624166759355,576563,365.8738648466183,400,4,0.05,403.6714543120823,304.0863869205444,70.71775792871888,0.156131630241931,0.156131630241931,0,39,,,,forecast_only
cholera,XGBoost,44,injected_5pct,84,2.9992267849997916,0.002887130107188525,576563,365.8738648466183,400,4,0.05,,,,,,4,33,0.12121212121212122,1.0,0.21621621621621623,applicable
cholera,XGBoost,44,injected_10pct,84,2.9992267849997916,0.005982394273776966,576563,365.8738648466183,400,4,0.05,,,,,,8,26,0.15384615384615385,0.5,0.23529411764705882,applicable
cholera,XGBoost,44,proxy_robust_z,84,2.9992267849997916,0.01500733382140208,576563,365.8738648466183,400,4,0.05,,,,,,0,39,,,,not_applicable_no_positive_reference
cholera,XGBoost,55,forecast_original,84,4.111912529000165,0.0040039480238105865,573639,365.8738648466183,400,4,0.05,403.77249941096204,300.5192024572405,67.3117915886465,0.15570911121569686,0.15570911121569686,0,41,,,,forecast_only
cholera,XGBoost,55,injected_5pct,84,4.111912529000165,0.0010440954761720821,573639,365.8738648466183,400,4,0.05,,,,,,4,38,0.10526315789473684,1.0,0.19047619047619047,applicable
cholera,XGBoost,55,injected_10pct,84,4.111912529000165,0.001909786988097126,573639,365.8738648466183,400,4,0.05,,,,,,8,31,0.12903225806451613,0.5,0.20512820512820512,applicable
cholera,XGBoost,55,proxy_robust_z,84,4.111912529000165,0.0011935561071281665,573639,365.8738648466183,400,4,0.05,,,,,,0,41,,,,not_applicable_no_positive_reference
cholera,XGBoost,66,forecast_original,84,2.5745177190001414,0.0010765977380601942,578671,365.8738648466183,400,4,0.05,407.9476114727067,304.19463640324545,69.32058430572906,0.13815846657666697,0.13815846657666697,0,40,,,,forecast_only
cholera,XGBoost,66,injected_5pct,84,2.5745177190001414,0.002090225011897928,578671,365.8738648466183,400,4,0.05,,,,,,4,38,0.10526315789473684,1.0,0.19047619047619047,applicable
cholera,XGBoost,66,injected_10pct,84,2.5745177190001414,0.0028097112142675194,578671,365.8738648466183,400,4,0.05,,,,,,8,32,0.125,0.5,0.2,applicable
cholera,XGBoost,66,proxy_robust_z,84,2.5745177190001414,0.004120290488112048,578671,365.8738648466183,400,4,0.05,,,,,,0,40,,,,not_applicable_no_positive_reference
cholera,XGBoost,77,forecast_original,84,1.2300203730001158,0.0005110271666537647,573367,365.8738648466183,400,4,0.05,360.13907578836915,280.03484252564647,69.01959195148018,0.32832509645637675,0.32832509645637675,0,36,,,,forecast_only
cholera,XGBoost,77,injected_5pct,84,1.2300203730001158,0.0005408811666441016,573367,365.8738648466183,400,4,0.05,,,,,,4,29,0.13793103448275862,1.0,0.24242424242424243,applicable
cholera,XGBoost,77,injected_10pct,84,1.2300203730001158,0.0005655607975919944,573367,365.8738648466183,400,4,0.05,,,,,,8,26,0.15384615384615385,0.5,0.23529411764705882,applicable
cholera,XGBoost,77,proxy_robust_z,84,1.2300203730001158,0.0005244300594995366,573367,365.8738648466183,400,4,0.05,,,,,,0,36,,,,not_applicable_no_positive_reference
cholera,XGBoost,88,forecast_original,84,1.065939599000103,0.0008656239523956867,576019,365.8738648466183,400,4,0.05,376.5561386584701,283.24346493175096,65.82885583237565,0.26569228016676727,0.26569228016676727,0,39,,,,forecast_only
cholera,XGBoost,88,injected_5pct,84,1.065939599000103,0.0005370792738241496,576019,365.8738648466183,400,4,0.05,,,,,,4,34,0.11764705882352941,1.0,0.21052631578947367,applicable
cholera,XGBoost,88,injected_10pct,84,1.065939599000103,0.0005373982857062878,576019,365.8738648466183,400,4,0.05,,,,,,8,31,0.12903225806451613,0.5,0.20512820512820512,applicable
cholera,XGBoost,88,proxy_robust_z,84,1.065939599000103,0.0005270654999798179,576019,365.8738648466183,400,4,0.05,,,,,,0,39,,,,not_applicable_no_positive_reference
cholera,XGBoost,99,forecast_original,84,1.0358336989997952,0.0005409649523493325,573502,365.8738648466183,400,4,0.05,370.96972106801917,280.99248844839997,65.80756692981782,0.28731838220828365,0.28731838220828365,0,38,,,,forecast_only
cholera,XGBoost,99,injected_5pct,84,1.0358336989997952,0.0005300947976225178,573502,365.8738648466183,400,4,0.05,,,,,,4,37,0.10810810810810811,1.0,0.1951219512195122,applicable
cholera,XGBoost,99,injected_10pct,84,1.0358336989997952,0.0007981832380838092,573502,365.8738648466183,400,4,0.05,,,,,,8,29,0.1724137931034483,0.625,0.2702702702702703,applicable
cholera,XGBoost,99,proxy_robust_z,84,1.0358336989997952,0.0013839494404562305,573502,365.8738648466183,400,4,0.05,,,,,,0,38,,,,not_applicable_no_positive_reference
cholera,XGBoost,110,forecast_original,84,4.309076134999941,0.001082123011926905,574046,365.8738648466183,400,4,0.05,380.08829836364083,285.733771754031,66.09791459843477,0.25185181121567823,0.25185181121567823,0,37,,,,forecast_only
cholera,XGBoost,110,injected_5pct,84,4.309076134999941,0.0015990668333426498,574046,365.8738648466183,400,4,0.05,,,,,,4,32,0.125,1.0,0.2222222222222222,applicable
cholera,XGBoost,110,injected_10pct,84,4.309076134999941,0.001038068190463751,574046,365.8738648466183,400,4,0.05,,,,,,8,29,0.13793103448275862,0.5,0.21621621621621623,applicable
cholera,XGBoost,110,proxy_robust_z,84,4.309076134999941,0.0018409164880765837,574046,365.8738648466183,400,4,0.05,,,,,,0,37,,,,not_applicable_no_positive_reference
ilinet,XGBoost,11,forecast_original,52,0.1894359230000191,0.0008367566730822335,179843,0.42912499258615805,200,2,0.03,0.680195474310335,0.3668542924815128,9.921948661519869,0.8748550980728118,0.8748550980728118,0,9,,,,forecast_only
ilinet,XGBoost,11,injected_5pct,52,0.1894359230000191,0.008355387865391934,179843,0.42912499258615805,200,2,0.03,,,,,,3,16,0.1875,1.0,0.3157894736842105,applicable
ilinet,XGBoost,11,injected_10pct,52,0.1894359230000191,0.0009205386922898329,179843,0.42912499258615805,200,2,0.03,,,,,,5,12,0.3333333333333333,0.8,0.47058823529411764,applicable
ilinet,XGBoost,11,proxy_robust_z,52,0.1894359230000191,0.0008591931923372333,179843,0.42912499258615805,200,2,0.03,,,,,,11,9,1.0,0.8181818181818182,0.9,applicable
ilinet,XGBoost,22,forecast_original,52,0.20444024800008265,0.0009009851538446758,179367,0.42912499258615805,200,2,0.03,0.7022781548941416,0.37951960942559076,10.412733702311082,0.8665974887370725,0.8665974887370725,0,9,,,,forecast_only
ilinet,XGBoost,22,injected_5pct,52,0.20444024800008265,0.0029809591538528715,179367,0.42912499258615805,200,2,0.03,,,,,,3,17,0.17647058823529413,1.0,0.3,applicable
ilinet,XGBoost,22,injected_10pct,52,0.20444024800008265,0.0037759722114987407,179367,0.42912499258615805,200,2,0.03,,,,,,5,13,0.38461538461538464,1.0,0.5555555555555556,applicable
ilinet,XGBoost,22,proxy_robust_z,52,0.20444024800008265,0.0009519616153721262,179367,0.42912499258615805,200,2,0.03,,,,,,11,9,1.0,0.8181818181818182,0.9,applicable
ilinet,XGBoost,33,forecast_original,52,0.25504414299985,0.0016314032692172566,179571,0.42912499258615805,200,2,0.03,0.719907100451422,0.3852521674639962,10.348073655075659,0.8598159508167605,0.8598159508167605,0,9,,,,forecast_only
ilinet,XGBoost,33,injected_5pct,52,0.25504414299985,0.0024913211922676756,179571,0.42912499258615805,200,2,0.03,,,,,,3,16,0.1875,1.0,0.3157894736842105,applicable
ilinet,XGBoost,33,injected_10pct,52,0.25504414299985,0.0012479674615301169,179571,0.42912499258615805,200,2,0.03,,,,,,5,13,0.38461538461538464,1.0,0.5555555555555556,applicable
