dataset,model,seed,scenario,n_eval,training_time_sec,mean_inference_latency_sec,model_size_bytes,n_parameters,threshold,architecture,batch_size,learning_rate,selected_epochs,RMSE,MAE,sMAPE,R2,R2_manual,n_reference_anomalies,n_detected,Precision,Recall,F1,metric_status
cholera,LSTM,11,forecast_original,84,3.3947076000004017,0.014147564333327301,19588,4897,113.59828415813446,small,16,0.001,15,150.63923563003047,91.30016696753201,27.97362142481087,0.8824845854797033,0.8824845854797033,0,20,,,,forecast_only
cholera,LSTM,11,injected_5pct,84,3.3947076000004017,0.014723546857145007,19588,4897,113.59828415813446,small,16,0.001,15,,,,,,4,48,0.08333333333333333,1.0,0.15384615384615385,applicable
cholera,LSTM,11,injected_10pct,84,3.3947076000004017,0.014677228500074437,19588,4897,113.59828415813446,small,16,0.001,15,,,,,,8,35,0.2,0.875,0.32558139534883723,applicable
cholera,LSTM,11,proxy_robust_z,84,3.3947076000004017,0.01346053147622548,19588,4897,113.59828415813446,small,16,0.001,15,,,,,,0,20,,,,not_applicable_no_positive_reference
cholera,LSTM,22,forecast_original,84,3.0937450600004013,0.009817739142904645,19588,4897,113.59828415813446,small,16,0.001,15,182.95572842547963,128.53485118721923,77.12298815444572,0.8266552654805653,0.8266552654805653,0,29,,,,forecast_only
cholera,LSTM,22,injected_5pct,84,3.0937450600004013,0.010164356607208987,19588,4897,113.59828415813446,small,16,0.001,15,,,,,,4,51,0.0784313725490196,1.0,0.14545454545454545,applicable
cholera,LSTM,22,injected_10pct,84,3.0937450600004013,0.010264617607022263,19588,4897,113.59828415813446,small,16,0.001,15,,,,,,8,39,0.15384615384615385,0.75,0.2553191489361702,applicable
cholera,LSTM,22,proxy_robust_z,84,3.0937450600004013,0.010157739523817457,19588,4897,113.59828415813446,small,16,0.001,15,,,,,,0,29,,,,not_applicable_no_positive_reference
cholera,LSTM,33,forecast_original,84,3.8473550060007256,0.01423406133333282,19588,4897,113.59828415813446,small,16,0.001,15,179.90897935674437,124.40824900116903,70.25953433337767,0.8323805892075311,0.8323805892075311,0,28,,,,forecast_only
cholera,LSTM,33,injected_5pct,84,3.8473550060007256,0.014446111809482838,19588,4897,113.59828415813446,small,16,0.001,15,,,,,,4,43,0.09302325581395349,1.0,0.1702127659574468,applicable
cholera,LSTM,33,injected_10pct,84,3.8473550060007256,0.010664604547649842,19588,4897,113.59828415813446,small,16,0.001,15,,,,,,8,36,0.16666666666666666,0.75,0.2727272727272727,applicable
cholera,LSTM,33,proxy_robust_z,84,3.8473550060007256,0.01029619432142681,19588,4897,113.59828415813446,small,16,0.001,15,,,,,,0,28,,,,not_applicable_no_positive_reference
cholera,LSTM,44,forecast_original,84,3.17414434300008,0.016220585000025625,19588,4897,113.59828415813446,small,16,0.001,15,251.73890177996958,199.85184195013335,121.43331147261334,0.6718145697767259,0.6718145697767259,0,62,,,,forecast_only
cholera,LSTM,44,injected_5pct,84,3.17414434300008,0.01089801378567418,19588,4897,113.59828415813446,small,16,0.001,15,,,,,,4,66,0.06060606060606061,1.0,0.11428571428571428,applicable
cholera,LSTM,44,injected_10pct,84,3.17414434300008,0.01061586224994114,19588,4897,113.59828415813446,small,16,0.001,15,,,,,,8,65,0.09230769230769231,0.75,0.1643835616438356,applicable
