dataset,model,scenario,n_seeds,n_reference_anomalies,n_detected_mean,Precision_mean,Precision_std,Recall_mean,Recall_std,F1_mean,F1_std,metric_status
cholera,NFGA-Core,injected_10pct,10,8,6.5,0.6866375291375292,0.24665282347372977,0.5,0.22047927592204922,0.5542779588832221,0.19079147825170048,applicable
cholera,NFGA-Core,injected_5pct,10,4,15.7,0.4387878787878788,0.3284142705000108,1.0,0.0,0.550952380952381,0.2918395449212526,applicable
cholera,NFGA-Core,proxy_robust_z,10,0,7.5,,,,,,,not_applicable_no_positive_reference
cholera,NFGA-LINEAR,injected_10pct,10,8,7.8,0.519047619047619,0.058823035384919765,0.5,0.0,0.5078431372549019,0.028935874014612624,applicable
cholera,NFGA-LINEAR,injected_5pct,10,4,8.8,0.45888888888888885,0.04627406873817919,1.0,0.0,0.6278388278388278,0.043962826772835494,applicable
cholera,NFGA-LINEAR,proxy_robust_z,10,0,0.8,,,,,,,not_applicable_no_positive_reference
electricity,NFGA-Core,injected_10pct,10,4,16.3,0.25499000999001,0.05467229913418537,1.0,0.0,0.40370528817587636,0.06781116674036641,applicable
electricity,NFGA-Core,injected_5pct,10,2,6.8,0.3059523809523809,0.06252487537222624,1.0,0.0,0.46539682539682536,0.07329828063513165,applicable
electricity,NFGA-Core,proxy_robust_z,10,0,4.0,,,,,,,not_applicable_no_positive_reference
electricity,NFGA-LINEAR,injected_10pct,10,4,8.7,0.4622222222222222,0.035214412811865825,1.0,0.0,0.6315018315018315,0.033088907811388145,applicable
electricity,NFGA-LINEAR,injected_5pct,10,2,4.2,0.48,0.042163702135578386,1.0,0.0,0.6476190476190476,0.04015590679578895,applicable
electricity,NFGA-LINEAR,proxy_robust_z,10,0,0.0,,,,,,,not_applicable_no_positive_reference
ilinet,NFGA-Core,injected_10pct,10,5,3.8,0.12666666666666665,0.17054741203866572,0.12000000000000002,0.1686548085423136,0.12136363636363637,0.16581116523343592,applicable
ilinet,NFGA-Core,injected_5pct,10,3,4.0,0.3783333333333333,0.1039497741967512,0.5,0.1756820922315766,0.42333333333333334,0.11877110744502982,applicable
ilinet,NFGA-Core,proxy_robust_z,10,11,2.3,1.0,0.0,0.20909090909090908,0.061358959791868416,0.34194139194139195,0.0860266632863974,applicable
ilinet,NFGA-LINEAR,injected_10pct,10,5,12.1,0.4065767565767566,0.03376620366263994,0.9800000000000001,0.06324555320336758,0.5740368077055383,0.04005931690996656,applicable
ilinet,NFGA-LINEAR,injected_5pct,10,3,13.7,0.21945054945054948,0.010667456598371837,1.0,0.0,0.35980392156862745,0.014375370880995273,applicable
ilinet,NFGA-LINEAR,proxy_robust_z,10,11,7.2,1.0,0.0,0.6545454545454545,0.05749595745760692,0.7898864809081527,0.04231734779998933,applicable
