dataset,model,model_type,seed,scenario,n_eval,K,training_time_sec,mean_inference_latency_sec,model_size_bytes,generations_ran,final_objective,threshold,mean_max_membership,mean_membership,RMSE,MAE,sMAPE,R2,R2_manual,n_reference_anomalies,n_detected,Precision,Recall,F1,metric_status
cholera,NFGA-Core,core,11,forecast_original,84,7,1.0372821459995976,7.006921425402522e-05,3024,40,0.3512268186303925,795.5579964812515,0.4355439458158543,0.14285714285706402,430.9163936548445,385.04429816432196,90.96977846235862,0.03837739604864765,0.03837739604864765,0,0,,,,forecast_only
cholera,NFGA-Core,core,11,injected_5pct,84,7,1.0372821459995976,6.252285718454957e-05,3024,40,0.3512268186303925,795.5579964812515,0.42328065368377965,0.14285714285704432,,,,,,4,10,0.4,1.0,0.5714285714285714,applicable
cholera,NFGA-Core,core,11,injected_10pct,84,7,1.0372821459995976,5.909865477146273e-05,3024,40,0.3512268186303925,795.5579964812515,0.4287204859221969,0.14285714285705065,,,,,,8,6,1.0,0.75,0.8571428571428571,applicable
cholera,NFGA-Core,core,11,proxy_robust_z,84,7,1.0372821459995976,6.188440484254984e-05,3024,40,0.3512268186303925,795.5579964812515,0.4355439458158543,0.14285714285706402,,,,,,0,0,,,,not_applicable_no_positive_reference
cholera,NFGA-Core,core,22,forecast_original,84,4,1.0165079990001686,6.804319054069874e-05,1728,40,0.3577021213549019,795.5579964812515,0.8579759097066625,0.2499999999997699,555.9735492556854,399.4248232714607,90.39081198812828,-0.6007624591523435,-0.6007624591523435,0,14,,,,forecast_only
cholera,NFGA-Core,core,22,injected_5pct,84,4,1.0165079990001686,6.395252378189027e-05,1728,40,0.3577021213549019,795.5579964812515,0.8056549092339333,0.24999999999969708,,,,,,4,4,1.0,1.0,1.0,applicable
cholera,NFGA-Core,core,22,injected_10pct,84,4,1.0165079990001686,5.924579756668079e-05,1728,40,0.3577021213549019,795.5579964812515,0.8271082956955347,0.24999999999972328,,,,,,8,5,0.6,0.375,0.46153846153846156,applicable
cholera,NFGA-Core,core,22,proxy_robust_z,84,4,1.0165079990001686,6.149957139963849e-05,1728,40,0.3577021213549019,795.5579964812515,0.8579759097066625,0.2499999999997699,,,,,,0,14,,,,not_applicable_no_positive_reference
cholera,NFGA-Core,core,33,forecast_original,84,8,1.0182853609994709,6.756602377728476e-05,3456,40,0.4058124936144224,795.5579964812515,0.23379501678940762,0.12499999999996923,570.0900058139368,407.13720421351275,88.70093312638966,-0.6830828130818074,-0.6830828130818074,0,14,,,,forecast_only
cholera,NFGA-Core,core,33,injected_5pct,84,8,1.0182853609994709,0.00011371123812187718,3456,40,0.4058124936144224,795.5579964812515,0.22833902365440975,0.1249999999999451,,,,,,4,24,0.16666666666666666,1.0,0.2857142857142857,applicable
cholera,NFGA-Core,core,33,injected_10pct,84,8,1.0182853609994709,6.739014285509863e-05,3456,40,0.4058124936144224,795.5579964812515,0.23114081054868696,0.12499999999995441,,,,,,8,4,0.75,0.375,0.5,applicable
cholera,NFGA-Core,core,33,proxy_robust_z,84,8,1.0182853609994709,6.159721432855545e-05,3456,40,0.4058124936144224,795.5579964812515,0.23379501678940762,0.12499999999996923,,,,,,0,14,,,,not_applicable_no_positive_reference
cholera,NFGA-Core,core,44,forecast_original,84,8,1.0190172829998119,6.782091668355861e-05,3456,40,0.32144219539229235,795.5579964812515,0.19049747387760319,0.12499999999997614,357.6998027010162,276.0264770018295,75.7210146377656,0.33739298201819357,0.33739298201819357,0,2,,,,forecast_only
