dataset,scenario,metric,primary_model,comparator_model,n_pairs,primary_mean,comparator_mean,mean_paired_benefit,benefit_ci95_low,benefit_ci95_high,wilcoxon_statistic,wilcoxon_p_raw,wilcoxon_method,n_nonzero_pairs,rank_biserial_positive_favors_primary,wilcoxon_p_holm,significant_holm_0_05
cholera,injected_10pct,F1,NFGA-LINEAR,NFGA-Core,10,0.5078431372549019,0.5542779588832221,-0.046434821628320085,-0.16852470542873016,0.06194631961176057,24.0,0.76953125,exact,10,-0.12727272727272726,0.76953125,False
cholera,injected_10pct,F1,NFGA-LINEAR,XGBoost,10,0.5078431372549019,0.21989100794054348,0.28795212931435843,0.26481864944248845,0.3098551682189453,0.0,0.001953125,exact,10,1.0,0.005859375,True
cholera,injected_10pct,F1,NFGA-LINEAR,LSTM,10,0.5078431372549019,0.24776979170173527,0.2600733455531667,0.21572757492023584,0.30655222197946913,0.0,0.001953125,exact,10,1.0,0.005859375,True
cholera,injected_5pct,F1,NFGA-LINEAR,NFGA-Core,10,0.6278388278388278,0.550952380952381,0.07688644688644689,-0.11266117216117214,0.25531135531135535,14.0,0.609375,auto,8,0.2222222222222222,0.609375,False
cholera,injected_5pct,F1,NFGA-LINEAR,XGBoost,10,0.6278388278388278,0.2058189675647955,0.42201986027403227,0.39085431549488037,0.45024495132325687,0.0,0.001953125,exact,10,1.0,0.005859375,True
cholera,injected_5pct,F1,NFGA-LINEAR,LSTM,10,0.6278388278388278,0.13601021724100812,0.4918286105978197,0.45746667968459703,0.5259146755775702,0.0,0.001953125,exact,10,1.0,0.005859375,True
electricity,injected_10pct,F1,NFGA-LINEAR,NFGA-Core,10,0.6315018315018316,0.40370528817587636,0.2277965433259551,0.18606010590716474,0.2645422329304678,0.0,0.001953125,exact,10,1.0,0.005859375,True
electricity,injected_10pct,F1,NFGA-LINEAR,XGBoost,10,0.6315018315018316,0.7272727272727273,-0.09577089577089579,-0.11555111555111555,-0.07599067599067602,0.0,0.001953125,exact,10,-1.0,0.005859375,True
electricity,injected_10pct,F1,NFGA-LINEAR,LSTM,10,0.6315018315018316,0.7381818181818183,-0.10667998667998671,-0.15239427239427242,-0.060233100233100245,0.0,0.0078125,auto,8,-1.0,0.0078125,True
electricity,injected_5pct,F1,NFGA-LINEAR,NFGA-Core,10,0.6476190476190476,0.46539682539682536,0.18222222222222223,0.14523809523809525,0.2176190476190476,0.0,0.001953125,exact,10,1.0,0.005859375,True
electricity,injected_5pct,F1,NFGA-LINEAR,XGBoost,10,0.6476190476190476,0.6095238095238096,0.03809523809523809,0.0,0.07619047619047618,3.5,0.21875,auto,6,0.6666666666666666,0.21875,False
electricity,injected_5pct,F1,NFGA-LINEAR,LSTM,10,0.6476190476190476,0.7333333333333333,-0.08571428571428576,-0.11809523809523817,-0.049523809523809546,0.0,0.015625,auto,7,-1.0,0.03125,True
ilinet,injected_10pct,F1,NFGA-LINEAR,NFGA-Core,10,0.5740368077055383,0.12136363636363637,0.452673171341902,0.337216599039935,0.5538496419301373,0.0,0.001953125,exact,10,1.0,0.005859375,True
ilinet,injected_10pct,F1,NFGA-LINEAR,XGBoost,10,0.5740368077055383,0.4970072239422085,0.07702958376332994,0.03931458548331615,0.1202227382180943,0.0,0.00390625,auto,9,1.0,0.0078125,True
ilinet,injected_10pct,F1,NFGA-LINEAR,LSTM,10,0.5740368077055383,0.4562728937728938,0.11776391393264465,0.062455072447332546,0.16656423274437987,3.0,0.009765625,exact,10,0.8909090909090909,0.009765625,True
ilinet,injected_5pct,F1,NFGA-LINEAR,NFGA-Core,10,0.3598039215686274,0.42333333333333334,-0.06352941176470589,-0.13925070028011205,0.012191876750700275,14.0,0.193359375,exact,10,-0.4909090909090909,0.193359375,False
ilinet,injected_5pct,F1,NFGA-LINEAR,XGBoost,10,0.3598039215686274,0.3126315789473684,0.04717234262125903,0.038457172342621256,0.05479876160990713,0.0,0.001953125,exact,10,1.0,0.005859375,True
ilinet,injected_5pct,F1,NFGA-LINEAR,LSTM,10,0.3598039215686274,0.42181426416720524,-0.06201034259857787,-0.08678140486964014,-0.03386931695755223,1.0,0.0078125,auto,9,-0.9555555555555556,0.015625,True
ilinet,proxy_robust_z,F1,NFGA-LINEAR,NFGA-Core,10,0.7898864809081527,0.34194139194139195,0.4479450889667608,0.4104040550093182,0.4854666832995006,0.0,0.001953125,exact,10,1.0,0.005859375,True
ilinet,proxy_robust_z,F1,NFGA-LINEAR,XGBoost,10,0.7898864809081527,0.8914285714285715,-0.1015420905204187,-0.13016855865153082,-0.07287292987370692,0.0,0.001953125,exact,10,-1.0,0.005859375,True
ilinet,proxy_robust_z,F1,NFGA-LINEAR,LSTM,10,0.7898864809081527,0.7577599524658348,0.032126528442317906,-0.007189542483660128,0.07085436407417828,2.5,0.25,auto,5,0.6666666666666666,0.25,False
