dataset,metric,primary_model,comparator_model,n_pairs,n_nonzero_pairs,primary_mean,comparator_mean,mean_paired_benefit,benefit_ci95_low,benefit_ci95_high,wilcoxon_statistic,wilcoxon_p_raw,wilcoxon_method,rank_biserial_positive_favors_primary,wilcoxon_p_holm,significant_holm_0_05
cholera,RMSE,NFGA-LINEAR,NFGA-Core,10,10,136.07229593200492,459.72899625243764,323.65670032043266,257.15215202695464,392.8978803715715,0.0,0.001953125,exact,1.0,0.005859375,True
cholera,RMSE,NFGA-LINEAR,XGBoost,10,10,136.07229593200492,391.6312026277968,255.55890669579193,219.90538053514607,286.697087453802,0.0,0.001953125,exact,1.0,0.005859375,True
cholera,RMSE,NFGA-LINEAR,LSTM,10,10,136.07229593200492,193.80368321649854,57.73138728449368,19.473691195891337,91.83211911708503,5.0,0.01953125,exact,0.8181818181818182,0.01953125,True
cholera,MAE,NFGA-LINEAR,NFGA-Core,10,10,110.95992734876195,376.70406442297974,265.74413707421775,221.63432086797897,312.1989193338474,0.0,0.001953125,exact,1.0,0.005859375,True
cholera,MAE,NFGA-LINEAR,XGBoost,10,10,110.95992734876195,295.0715630438603,184.1116356950984,148.35581644726318,215.78159190759925,0.0,0.001953125,exact,1.0,0.005859375,True
cholera,MAE,NFGA-LINEAR,LSTM,10,10,110.95992734876195,140.9382813938311,29.978354045069153,-7.549471132672784,65.16478638340244,14.0,0.193359375,exact,0.4909090909090909,0.193359375,False
cholera,sMAPE,NFGA-LINEAR,NFGA-Core,10,10,59.17035447242714,98.55352611455211,39.383171642124964,16.911765123784786,64.32841984207626,4.0,0.013671875,exact,0.8545454545454545,0.041015625,True
cholera,sMAPE,NFGA-LINEAR,XGBoost,10,10,59.17035447242714,68.50885539462112,9.338500922193996,-9.469176988546938,26.233129382851942,18.0,0.375,exact,0.34545454545454546,0.46484375,False
cholera,sMAPE,NFGA-LINEAR,LSTM,10,10,59.17035447242714,81.10096185278707,21.93060738035992,-7.0326673085527185,48.70752431533672,15.0,0.232421875,exact,0.45454545454545453,0.46484375,False
electricity,RMSE,NFGA-LINEAR,NFGA-Core,10,10,0.14786328813741853,0.15530923938511884,0.00744595124770032,0.002142245206969722,0.012935951772535677,7.0,0.037109375,exact,0.7454545454545455,0.037109375,True
electricity,RMSE,NFGA-LINEAR,XGBoost,10,10,0.14786328813741853,0.13001942544897047,-0.017843862688448047,-0.019826851358059932,-0.015729939246394264,0.0,0.001953125,exact,-1.0,0.005859375,True
electricity,RMSE,NFGA-LINEAR,LSTM,10,10,0.14786328813741853,0.13840858365607725,-0.009454704481341267,-0.012030250528806396,-0.006901450200357353,0.0,0.001953125,exact,-1.0,0.005859375,True
electricity,MAE,NFGA-LINEAR,NFGA-Core,10,10,0.11339359949008296,0.11383794840218604,0.0004443489121030597,-0.0034925724277018403,0.004511357982998836,27.0,1.0,exact,-0.01818181818181818,1.0,False
electricity,MAE,NFGA-LINEAR,XGBoost,10,10,0.11339359949008296,0.1050783001822047,-0.00831529930787827,-0.010998720356083307,-0.005751900464571834,0.0,0.001953125,exact,-1.0,0.005859375,True
electricity,MAE,NFGA-LINEAR,LSTM,10,10,0.11339359949008296,0.10610546729213007,-0.007288132197952902,-0.010223293114133598,-0.004962529143819463,0.0,0.001953125,exact,-1.0,0.005859375,True
electricity,sMAPE,NFGA-LINEAR,NFGA-Core,10,10,12.07877790382091,12.387328372043791,0.3085504682228796,-0.1308526779987881,0.7368122995391433,16.0,0.275390625,exact,0.41818181818181815,0.275390625,False
electricity,sMAPE,NFGA-LINEAR,XGBoost,10,10,12.07877790382091,11.801974289031863,-0.27680361478904947,-0.5067640461204986,-0.0033281420846788044,8.0,0.048828125,exact,-0.7090909090909091,0.09765625,False
electricity,sMAPE,NFGA-LINEAR,LSTM,10,10,12.07877790382091,11.442368117027321,-0.6364097867935892,-0.8740826488864234,-0.41848090599816395,1.0,0.00390625,exact,-0.9636363636363636,0.01171875,True
ilinet,RMSE,NFGA-LINEAR,NFGA-Core,10,10,0.4421830420553653,0.741354241038476,0.2991711989831106,0.2747202837621304,0.3263001760915342,0.0,0.001953125,exact,1.0,0.005859375,True
ilinet,RMSE,NFGA-LINEAR,XGBoost,10,10,0.4421830420553653,0.7008534207522599,0.25867037869689435,0.24265818728408417,0.2727052394391521,0.0,0.001953125,exact,1.0,0.005859375,True
ilinet,RMSE,NFGA-LINEAR,LSTM,10,10,0.4421830420553653,0.7538869622349782,0.31170392017961285,0.2742763420148861,0.35595969752914014,0.0,0.001953125,exact,1.0,0.005859375,True
ilinet,MAE,NFGA-LINEAR,NFGA-Core,10,10,0.261506483959385,0.4942539991642897,0.2327475152049047,0.19475377123488863,0.2685286425254819,0.0,0.001953125,exact,1.0,0.005859375,True
ilinet,MAE,NFGA-LINEAR,XGBoost,10,10,0.261506483959385,0.3749787010654533,0.11347221710606825,0.10350323280069094,0.12327156296470497,0.0,0.001953125,exact,1.0,0.005859375,True
ilinet,MAE,NFGA-LINEAR,LSTM,10,10,0.261506483959385,0.45450547505996325,0.19299899110057822,0.15880407286924386,0.23071586143461587,0.0,0.001953125,exact,1.0,0.005859375,True
ilinet,sMAPE,NFGA-LINEAR,NFGA-Core,10,10,7.898919482140462,16.852492476768255,8.953572994627788,7.065561466965814,10.81120923466078,0.0,0.001953125,exact,1.0,0.005859375,True
ilinet,sMAPE,NFGA-LINEAR,XGBoost,10,10,7.898919482140462,10.12030621175671,2.221386729616248,1.5510474662300822,2.8585594885362022,0.0,0.001953125,exact,1.0,0.005859375,True
ilinet,sMAPE,NFGA-LINEAR,LSTM,10,10,7.898919482140462,14.09679105151631,6.197871569375849,4.889265606717598,7.495303085926446,0.0,0.001953125,exact,1.0,0.005859375,True
