dataset,metric,n_pairs,core_mean,linear_mean,mean_paired_benefit,benefit_ci95_low,benefit_ci95_high,mean_relative_improvement_percent,median_relative_improvement_percent,linear_better_seed_count,core_better_seed_count,ties,wilcoxon_statistic,wilcoxon_p_value,wilcoxon_method,n_nonzero_pairs,rank_biserial_positive_favors_linear,wilcoxon_p_holm_within_dataset
cholera,RMSE,10,459.72899625243764,136.07229593200492,323.65670032043266,257.15215202695464,392.8978803715715,69.01732879521185,67.94568374771285,10,0,0,0.0,0.001953125,exact,10,1.0,0.005859375
cholera,MAE,10,376.70406442297974,110.95992734876195,265.74413707421775,221.63432086797897,312.1989193338474,70.13079418108273,68.10772428711178,10,0,0,0.0,0.001953125,exact,10,1.0,0.005859375
cholera,sMAPE,10,98.55352611455211,59.17035447242714,39.383171642124964,16.911765123784786,64.32841984207626,37.866113064522196,44.32882038806877,8,2,0,4.0,0.013671875,exact,10,0.8545454545454545,0.013671875
cholera,K,10,7.4,2.5,4.9,,,65.53571428571429,62.5,10,0,0,,,descriptive_only,10,,
electricity,RMSE,10,0.15530923938511884,0.14786328813741853,0.00744595124770032,0.002142245206969722,0.012935951772535677,4.464634013215894,4.0222464400211635,8,2,0,7.0,0.037109375,exact,10,0.7454545454545455,0.111328125
electricity,MAE,10,0.11383794840218604,0.11339359949008296,0.0004443489121030597,-0.0034925724277018403,0.004511357982998836,0.07045428575322044,-0.8655185449341108,4,6,0,27.0,1.0,exact,10,-0.01818181818181818,1.0
electricity,sMAPE,10,12.387328372043791,12.07877790382091,0.3085504682228796,-0.1308526779987881,0.7368122995391433,2.1509093586676773,2.0587458696847722,6,4,0,16.0,0.275390625,exact,10,0.41818181818181815,0.55078125
electricity,K,10,8.0,7.2,0.8,,,10.0,6.25,5,0,5,,,descriptive_only,5,,
ilinet,RMSE,10,0.741354241038476,0.4421830420553653,0.2991711989831106,0.2747202837621304,0.3263001760915342,40.18346411016293,40.01625668937131,10,0,0,0.0,0.001953125,exact,10,1.0,0.005859375
ilinet,MAE,10,0.4942539991642897,0.261506483959385,0.2327475152049047,0.19475377123488863,0.2685286425254819,46.30752360659208,49.02264013782785,10,0,0,0.0,0.001953125,exact,10,1.0,0.005859375
ilinet,sMAPE,10,16.852492476768255,7.898919482140462,8.953572994627788,7.065561466965814,10.81120923466078,51.64932916758697,54.4407034397311,10,0,0,0.0,0.001953125,exact,10,1.0,0.005859375
ilinet,K,10,7.2,7.2,0.0,,,-2.511904761904762,0.0,3,4,3,,,descriptive_only,7,,
