dataset,model,RMSE_mean,RMSE_std,MAE_mean,MAE_std,sMAPE_mean,sMAPE_std,R2_mean,R2_std,n_runs,result_type,RMSE_rank
cholera,Persistence,96.03446801861844,,55.16666666666666,,18.705881959035032,,0.952239056219302,,1,single_deterministic_run,1
cholera,ARIMA,103.00935483779206,,60.95913606242964,,21.457558861404472,,0.9450494600195344,,1,single_deterministic_run,2
cholera,NFGA-LINEAR,136.0722959320049,41.78935174461751,110.95992734876195,48.9630257014377,59.17035447242714,29.72538551653017,0.8959739696611353,0.06900791353472549,10,multiseed_mean,3
cholera,LSTM,193.80368321649854,31.840731637725906,140.93828139383112,31.611138669834972,81.10096185278707,30.172832415564045,0.8007643879925268,0.06489570102516774,10,multiseed_mean,4
cholera,XGBoost,391.6312026277968,24.70691943168708,295.07156304386035,17.13235080020841,68.50885539462114,3.787099031186264,0.20287567095361467,0.10247907809984279,10,multiseed_mean,5
cholera,NFGA-Core,459.7289962524375,118.3822796662578,376.70406442297974,80.94565366487579,98.55352611455211,34.80816517834433,-0.15983502791235998,0.5984661686539015,10,multiseed_mean,6
cholera,SeasonalNaive,618.7376838601084,,488.9880952380952,,126.52456625652128,,-0.982584765840426,,1,single_deterministic_run,7
electricity,XGBoost,0.13001942544897047,0.0015603668103739317,0.1050783001822047,0.001966350961896009,11.801974289031861,0.2486930822664223,0.6871681625680536,0.007518644146354136,10,multiseed_mean,1
electricity,LSTM,0.13840858365607728,0.00460908442588874,0.10610546729213007,0.0019183067764372071,11.442368117027321,0.21614223355697348,0.6451886991593078,0.023681161602593793,10,multiseed_mean,2
electricity,NFGA-LINEAR,0.14786328813741853,0.0031219859497253507,0.11339359949008296,0.0035836285573955504,12.07877790382091,0.30080889519962384,0.5953000951448085,0.01714634195507334,10,multiseed_mean,3
electricity,ARIMA,0.1486695449156054,,0.1183145476658612,,12.52688762098865,,0.5910387176950418,,1,single_deterministic_run,4
electricity,SeasonalNaive,0.1526233789136536,,0.1200232543550939,,13.17018977037874,,0.5689969950521717,,1,single_deterministic_run,5
electricity,NFGA-Core,0.15530923938511884,0.010578257929983495,0.11383794840218601,0.0075280690113818495,12.38732837204379,0.8480458988900116,0.5518305567800307,0.06094860388739757,10,multiseed_mean,6
electricity,Persistence,0.1606253833617671,,0.1244958175320919,,13.19033911160045,,0.5226174673317705,,1,single_deterministic_run,7
ilinet,ARIMA,0.395145761258978,,0.223640266941239,,6.124751535543743,,0.957766182252635,,1,single_deterministic_run,1
ilinet,NFGA-LINEAR,0.4421830420553654,0.014282300568139073,0.261506483959385,0.009865968300375916,7.898919482140462,0.9758252136493246,0.9470632304945283,0.003442788395870395,10,multiseed_mean,2
ilinet,Persistence,0.5017354080147914,,0.3202559615384616,,8.935494838522438,,0.9319081415376638,,1,single_deterministic_run,3
ilinet,XGBoost,0.7008534207522598,0.016870597540641193,0.3749787010654533,0.008672860631316646,10.12030621175671,0.23880273858847667,0.8670689289829692,0.006381132415057191,10,multiseed_mean,4
ilinet,NFGA-Core,0.7413542410384759,0.04485550344367741,0.49425399916428975,0.06174753834404624,16.85249247676825,3.2405119746463464,0.8508491342681326,0.018292363715962448,10,multiseed_mean,5
ilinet,LSTM,0.7538869622349782,0.0700787559247926,0.45450547505996325,0.05579411552917825,14.09679105151631,1.710534364561351,0.8450746370207819,0.029902008217170806,10,multiseed_mean,6
ilinet,SeasonalNaive,1.0247880784853858,,0.6474390384615385,,19.21057219517211,,0.7159375585705807,,1,single_deterministic_run,7
