dataset,seed,sensitivity_RMSE,stage6_RMSE,absolute_difference,matches_within_1e-10
cholera,11,135.4944905852164,135.49449058521645,5.684341886080802e-14,True
cholera,22,102.97987475283108,102.97987475283108,0.0,True
cholera,33,96.27539077141412,96.27539077141417,4.263256414560601e-14,True
cholera,44,103.84084154836084,103.84084154836084,0.0,True
cholera,55,134.7627682445342,134.7627682445342,0.0,True
cholera,66,126.77256822068634,126.77256822068634,0.0,True
cholera,77,203.3380551786156,203.3380551786156,0.0,True
cholera,88,218.2377412615556,218.2377412615556,0.0,True
cholera,99,112.93697005834922,112.93697005834922,0.0,True
cholera,110,126.08425869848531,126.08425869848531,0.0,True
electricity,11,0.14579333924643512,0.1457933392464351,2.7755575615628914e-17,True
electricity,22,0.15151569732383774,0.1515156973238377,2.7755575615628914e-17,True
electricity,33,0.14528851513542915,0.1452885151354291,5.551115123125783e-17,True
electricity,44,0.1441728283335275,0.1441728283335275,0.0,True
electricity,55,0.14731534383546244,0.1473153438354624,2.7755575615628914e-17,True
electricity,66,0.15230641273439824,0.1523064127343982,2.7755575615628914e-17,True
electricity,77,0.14580407850618732,0.1458040785061873,2.7755575615628914e-17,True
electricity,88,0.14513608107292283,0.1451360810729228,2.7755575615628914e-17,True
electricity,99,0.1517889422514056,0.1517889422514056,0.0,True
electricity,110,0.14951164293457964,0.1495116429345796,2.7755575615628914e-17,True
ilinet,11,0.47143099654047577,0.4714309965404757,5.551115123125783e-17,True
ilinet,22,0.44041940122669837,0.4404194012266983,5.551115123125783e-17,True
ilinet,33,0.43593979774812575,0.4359397977481257,5.551115123125783e-17,True
ilinet,44,0.4517083596774049,0.4517083596774049,0.0,True
ilinet,55,0.42465190794262253,0.4246519079426225,5.551115123125783e-17,True
ilinet,66,0.4489044075050391,0.4489044075050391,0.0,True
ilinet,77,0.44897441372904034,0.4489744137290403,5.551115123125783e-17,True
ilinet,88,0.4414832580095979,0.4414832580095979,0.0,True
ilinet,99,0.43654844448010094,0.4365484444801009,5.551115123125783e-17,True
ilinet,110,0.42176943369454833,0.4217694336945483,5.551115123125783e-17,True
