dataset,config_id,factor,level,n_pairs,baseline_RMSE_mean,alternative_RMSE_mean,mean_delta_alternative_minus_baseline,delta_ci95_low,delta_ci95_high,wilcoxon_statistic,wilcoxon_p_raw,n_nonzero_pairs,wilcoxon_p_holm_within_dataset,significant_holm_0_05
cholera,K_max__12,K_max,12,10,136.07229593200486,120.88440716181549,-15.187888770189407,-39.67398641920014,11.299700981668146,9.0,0.064453125,10,0.708984375,False
cholera,K_max__4,K_max,4,10,136.07229593200486,134.20657234883333,-1.8657235831715426,-32.10934194677081,23.934075719300655,26.0,0.921875,10,1.0,False
cholera,crossover_probability__0.70,crossover_probability,0.70,10,136.07229593200486,126.51754859740552,-9.554747334599353,-40.44340092248136,20.09507576400612,21.0,0.556640625,10,1.0,False
cholera,ga_budget__large_40x60,ga_budget,large_40x60,10,136.07229593200486,140.45863398608398,4.386338054079106,-25.091478162004236,29.949644870211056,18.0,0.65234375,9,1.0,False
cholera,ga_budget__small_15x20,ga_budget,small_15x20,10,136.07229593200486,132.6117601797656,-3.460535752239278,-20.031554202350073,12.588818873324248,25.0,0.845703125,10,1.0,False
cholera,lambda_rules__0,lambda_rules,0,10,136.07229593200486,122.07993579774102,-13.992360134263853,-46.53040621548349,14.693330237705297,21.0,0.556640625,10,1.0,False
cholera,lambda_rules__0.02,lambda_rules,0.02,10,136.07229593200486,137.54287073621836,1.4705748042134927,-31.462815837819377,34.1108505552141,27.0,1.0,10,1.0,False
cholera,mutation_probability__high_0.45,mutation_probability,high_0.45,10,136.07229593200486,110.30306843381996,-25.769227498184925,-51.39274517863952,-4.404999482364331,8.0,0.09765625,9,0.9765625,False
cholera,mutation_probability__low_0.15,mutation_probability,low_0.15,10,136.07229593200486,127.42701438531844,-8.645281546686423,-37.14815959375067,19.58089714959698,20.0,0.4921875,10,1.0,False
cholera,window_size__half,window_size,half,10,136.07229593200486,148.30598961178657,12.23369367978172,-33.00885973295743,58.46536188665908,24.0,0.76953125,10,1.0,False
cholera,window_size__one_point_five,window_size,one_point_five,10,136.07229593200486,129.7925443351585,-6.279751596846365,-34.425470358522766,13.239312843012886,25.0,0.845703125,10,1.0,False
ilinet,K_max__12,K_max,12,10,0.4421830420553654,0.4520001975865252,0.00981715553115985,-0.004894796369698345,0.021876128911563965,14.0,0.193359375,10,1.0,False
ilinet,K_max__4,K_max,4,10,0.4421830420553654,0.4554555320994476,0.013272490044082147,-0.003862813653736825,0.031034474540464502,16.0,0.275390625,10,1.0,False
ilinet,crossover_probability__0.70,crossover_probability,0.70,10,0.4421830420553654,0.44743008033424864,0.005247038278883226,-0.007080320507019801,0.019427268718576828,24.0,0.76953125,10,1.0,False
ilinet,ga_budget__large_40x60,ga_budget,large_40x60,10,0.4421830420553654,0.45223841625905753,0.010055374203692175,-0.00024110843302813827,0.02017360083929147,13.0,0.16015625,10,1.0,False
ilinet,ga_budget__small_15x20,ga_budget,small_15x20,10,0.4421830420553654,0.45756354866368654,0.015380506608321099,0.004345244725313463,0.025307992183557275,6.0,0.02734375,10,0.30078125,False
ilinet,lambda_rules__0,lambda_rules,0,10,0.4421830420553654,0.44623158857309947,0.0040485465177340415,-0.0027348453615949446,0.011409951693736337,19.0,0.431640625,10,1.0,False
ilinet,lambda_rules__0.02,lambda_rules,0.02,10,0.4421830420553654,0.4570148207102395,0.014831778654874117,-0.000932964766815612,0.028205791641462415,13.0,0.16015625,10,1.0,False
ilinet,mutation_probability__high_0.45,mutation_probability,high_0.45,10,0.4421830420553654,0.44402113197671184,0.0018380899213464087,-0.009196144565320983,0.011853325826944273,24.0,0.76953125,10,1.0,False
ilinet,mutation_probability__low_0.15,mutation_probability,low_0.15,10,0.4421830420553654,0.45123838611548084,0.0090553440601155,-0.0025042268915750118,0.02013475223738616,8.0,0.048828125,10,0.48828125,False
ilinet,window_size__half,window_size,half,10,0.4421830420553654,0.4515062870845303,0.0093232450291649,0.001275419756122826,0.01736529214008166,9.0,0.064453125,10,0.580078125,False
ilinet,window_size__one_point_five,window_size,one_point_five,10,0.4421830420553654,0.44886420811918093,0.006681166063815569,-0.004255974633250671,0.017494994429671496,19.0,0.431640625,10,1.0,False
electricity,K_max__12,K_max,12,10,0.14786328813741853,0.15186183847339577,0.003998550335977205,0.002068469263804199,0.0059349282340386625,2.0,0.005859375,10,0.064453125,False
electricity,K_max__4,K_max,4,10,0.14786328813741853,0.15067414572146082,0.002810857584042273,-0.0005335773613890875,0.0057700198252919445,12.0,0.130859375,10,1.0,False
electricity,crossover_probability__0.70,crossover_probability,0.70,10,0.14786328813741853,0.1484025350192005,0.0005392468817819546,-0.002230875090285862,0.003404507164013952,24.0,0.76953125,10,1.0,False
electricity,ga_budget__large_40x60,ga_budget,large_40x60,10,0.14786328813741853,0.14506719841788648,-0.002796089719532058,-0.005795648619812512,0.00044790345240151364,11.0,0.10546875,10,0.94921875,False
electricity,ga_budget__small_15x20,ga_budget,small_15x20,10,0.14786328813741853,0.14925877183742603,0.0013954837000074577,-0.0015584580677383158,0.003944737637014617,19.0,0.431640625,10,1.0,False
electricity,lambda_rules__0,lambda_rules,0,10,0.14786328813741853,0.1492895024710014,0.0014262143335828288,-0.0015695507923893398,0.004248278588182538,19.0,0.431640625,10,1.0,False
electricity,lambda_rules__0.02,lambda_rules,0.02,10,0.14786328813741853,0.15126168872058093,0.0033984005831623866,-0.0007993838603658685,0.007544465560662952,16.0,0.275390625,10,1.0,False
electricity,mutation_probability__high_0.45,mutation_probability,high_0.45,10,0.14786328813741853,0.1478291322497685,-3.415588765003641e-05,-0.004275723385328866,0.004113572504805607,27.0,1.0,10,1.0,False
electricity,mutation_probability__low_0.15,mutation_probability,low_0.15,10,0.14786328813741853,0.14897443400293076,0.0011111458655121947,-0.003491552268277036,0.005889390479737331,26.0,0.921875,10,1.0,False
electricity,window_size__half,window_size,half,10,0.14786328813741853,0.14476303495581327,-0.0031002531816052697,-0.007238416973847517,0.0006846031636326435,15.0,0.232421875,10,1.0,False
electricity,window_size__one_point_five,window_size,one_point_five,10,0.14786328813741853,0.14242254531963577,-0.005440742817782779,-0.009458379446498293,-0.0016743169708748756,7.0,0.037109375,10,0.37109375,False
