dataset,config_id,factor,level,seed,window_size,K_min,K_max,population_size,maximum_generations,crossover_probability,center_mutation_probability,sigma_mutation_probability,consequent_mutation_probability,lambda_rules,lambda_weights,K_selected,generations_ran,training_time_sec,inference_latency_sec,model_size_bytes,RMSE,MAE,sMAPE,R2,R2_manual
cholera,baseline,baseline,reference,11,52,2,8,25,40,0.9,0.25,0.25,0.3,0.005,1e-06,2,30,0.7826656160004859,6.0758488134957765e-05,1696,135.4944905852164,107.8006755219307,98.93939722186177,0.90492597000617,0.90492597000617
cholera,baseline,baseline,reference,22,52,2,8,25,40,0.9,0.25,0.25,0.3,0.005,1e-06,2,40,1.008370616999855,6.296559523174697e-05,1696,102.97987475283108,65.28609856250584,38.53396777345643,0.9450809079357911,0.9450809079357911
cholera,baseline,baseline,reference,33,52,2,8,25,40,0.9,0.25,0.25,0.3,0.005,1e-06,3,40,1.045748120999633,6.680519047785354e-05,2544,96.27539077141412,55.98454973638457,18.768501027453087,0.9519991187930622,0.9519991187930622
cholera,baseline,baseline,reference,44,52,2,8,25,40,0.9,0.25,0.25,0.3,0.005,1e-06,3,22,0.5780001000002812,7.230997614117638e-05,2544,103.84084154836084,76.76617047031073,34.63115822485015,0.9441587632439307,0.9441587632439307
cholera,baseline,baseline,reference,55,52,2,8,25,40,0.9,0.25,0.25,0.3,0.005,1e-06,2,40,0.999925849999272,6.48221071276653e-05,1696,134.7627682445342,117.98555843590141,49.74970770618001,0.9059500698799717,0.9059500698799717
cholera,baseline,baseline,reference,66,52,2,8,25,40,0.9,0.25,0.25,0.3,0.005,1e-06,2,40,1.3143164590001106,9.520434525170241e-05,1696,126.77256822068634,107.37866908221544,45.44669204554262,0.9167720481363749,0.9167720481363749
cholera,baseline,baseline,reference,77,52,2,8,25,40,0.9,0.25,0.25,0.3,0.005,1e-06,3,21,0.7337606470000537,9.865198807173805e-05,2544,203.3380551786156,182.6687045062526,112.35980952942879,0.7858806279426603,0.7858806279426603
cholera,baseline,baseline,reference,88,52,2,8,25,40,0.9,0.25,0.25,0.3,0.005,1e-06,3,15,0.5652803889997813,0.00010107632143834573,2544,218.2377412615556,206.80135894011786,67.97442729452065,0.7533515751128166,0.7533515751128166
cholera,baseline,baseline,reference,99,52,2,8,25,40,0.9,0.25,0.25,0.3,0.005,1e-06,3,40,1.4299518889993124,0.00012341432144629444,2544,112.93697005834922,81.14731525868324,78.50136750217081,0.933947251401489,0.933947251401489
cholera,baseline,baseline,reference,110,52,2,8,25,40,0.9,0.25,0.25,0.3,0.005,1e-06,2,11,0.39525382700048795,9.932996428168346e-05,1696,126.08425869848531,107.78017297331701,46.798516398806974,0.9176733641590866,0.9176733641590866
cholera,K_max__4,K_max,4,11,52,2,4,25,40,0.9,0.25,0.25,0.3,0.005,1e-06,3,40,1.2560669160002362,6.494802373492261e-05,2544,135.24064571472263,107.64053810553837,100.8045657361035,0.9052818730028523,0.9052818730028523
