dataset,config_id,factor,level,n_seeds,RMSE_mean,RMSE_std,MAE_mean,MAE_std,sMAPE_mean,sMAPE_std,R2_mean,R2_std,K_mean,K_std,training_time_mean_sec,inference_latency_mean_sec,model_size_mean_bytes,generations_mean,baseline_RMSE_mean,baseline_MAE_mean,baseline_sMAPE_mean,baseline_training_time_mean_sec,baseline_model_size_mean_bytes,RMSE_change_percent_vs_baseline,training_time_change_percent_vs_baseline,model_size_change_percent_vs_baseline
cholera,K_max__12,K_max,12,10,120.88440716181546,33.77756056922263,92.31873232937963,42.689107988225096,41.12919515383054,18.078530028341923,0.9190061953044915,0.050091774377840556,3.0,0.8164965809277261,1.0458249373999933,7.751318332685472e-05,2544.0,36.0,136.07229593200486,110.95992734876195,59.17035447242713,0.8853273514999274,2120.0,-11.161631885581448,18.128614870889265,20.0
cholera,K_max__4,K_max,4,10,134.20657234883333,26.116450752493883,109.11248403800248,33.62894455029004,67.89143340056538,27.49642645111044,0.9035458056492672,0.03877273076803113,2.2,0.4216370213557839,1.7074690637999992,0.00018039543809945393,1865.6,32.8,136.07229593200486,110.95992734876195,59.17035447242713,0.8853273514999274,2120.0,-1.3711267017231996,92.86301963981956,-12.000000000000004
cholera,baseline,baseline,reference,10,136.07229593200486,41.78935174461753,110.95992734876195,48.963025701437715,59.17035447242713,29.725385516530174,0.8959739696611353,0.06900791353472539,2.5,0.5270462766947299,0.8853273514999274,8.45338297603164e-05,2120.0,29.9,136.07229593200486,110.95992734876195,59.17035447242713,0.8853273514999274,2120.0,0.0,0.0,0.0
cholera,crossover_probability__0.70,crossover_probability,0.70,10,126.51754859740552,37.19523166809665,97.83126773075874,45.454856887750516,48.74523224693577,26.467360862452242,0.9106584011139521,0.061146662260662114,2.8,0.9189365834726815,1.0805792133001888,8.276336787687234e-05,2374.4,35.4,136.07229593200486,110.95992734876195,59.17035447242713,0.8853273514999274,2120.0,-7.0218167990447045,22.0541996663115,12.000000000000004
cholera,ga_budget__large_40x60,ga_budget,large_40x60,10,140.45863398608398,49.13489220006404,112.62922783418007,58.91817033763616,54.18025190307401,32.75090367352565,0.8865795581751165,0.08449043126342447,2.7,0.4830458915396479,1.878644875200098,0.00011674824760185792,2289.6,38.7,136.07229593200486,110.95992734876195,59.17035447242713,0.8853273514999274,2120.0,3.2235349775173674,112.19776752828042,7.9999999999999964
cholera,ga_budget__small_15x20,ga_budget,small_15x20,10,132.61176017976558,43.81237902621557,107.97631130754708,51.62282588871948,51.62370044689717,21.5147782665309,0.8999819200500809,0.07928867070108679,2.6,0.6992058987801011,0.30102608559991495,6.552368690574352e-05,2204.8,19.8,136.07229593200486,110.95992734876195,59.17035447242713,0.8853273514999274,2120.0,-2.5431596700393047,-65.9983298731351,4.000000000000009
cholera,lambda_rules__0,lambda_rules,0,10,122.07993579774102,21.11938676795586,92.37521114158831,27.45044032286061,66.13348995156447,31.75308807737761,0.9207407134719234,0.02828327044504105,7.2,1.3165611772087666,1.150852523100093,8.662842857943144e-05,6105.6,38.2,136.07229593200486,110.95992734876195,59.17035447242713,0.8853273514999274,2120.0,-10.283033764092442,29.991750638937244,188.00000000000003
cholera,lambda_rules__0.02,lambda_rules,0.02,10,137.54287073621836,38.75000044596633,114.86789044850177,49.06268858764831,43.89368437997916,17.79171886364692,0.8950311250060219,0.05706761889669534,2.0,0.0,0.8547532374999719,7.002477737582272e-05,1696.0,33.8,136.07229593200486,110.95992734876195,59.17035447242713,0.8853273514999274,2120.0,1.0807305000191536,-3.453424764089419,-20.0
cholera,mutation_probability__high_0.45,mutation_probability,high_0.45,10,110.30306843381996,14.294898096431112,79.97174527854172,22.300250813424643,39.08623912219615,18.674668908944074,0.9360398637303042,0.017051832556170054,2.6,0.8432740427115677,0.8354669602002105,7.9583930945167e-05,2204.8,32.2,136.07229593200486,110.95992734876195,59.17035447242713,0.8853273514999274,2120.0,-18.937894243411424,-5.631859358602563,4.000000000000009
cholera,mutation_probability__low_0.15,mutation_probability,low_0.15,10,127.42701438531844,31.885023637911868,99.67630128983424,41.98110465854914,55.52622796731654,27.910349799266182,0.9111720924045541,0.04660357115448729,2.7,0.6749485577105531,0.9314116804999685,8.305998096494434e-05,2289.6,31.8,136.07229593200486,110.95992734876195,59.17035447242713,0.8853273514999274,2120.0,-6.353447252044939,5.20534341585231,7.9999999999999964
