dataset,model,k_mad,n_runs,macro_F1_mean,macro_F1_std,macro_Precision_mean,macro_Recall_mean,macro_FalsePositiveRate_mean,baseline_macro_F1_mean,baseline_macro_FalsePositiveRate_mean,macro_F1_change_vs_baseline,macro_FalsePositiveRate_change_vs_baseline
cholera,ARIMA,2.0,1,0.38095238095238093,,0.2714932126696833,0.75,0.14046052631578948,0.3404761904761905,0.14046052631578948,0.04047619047619044,0.0
cholera,ARIMA,2.5,1,0.3404761904761905,,0.2426470588235294,0.6875,0.14046052631578948,0.3404761904761905,0.14046052631578948,0.0,0.0
cholera,ARIMA,3.0,1,0.3404761904761905,,0.2426470588235294,0.6875,0.14046052631578948,0.3404761904761905,0.14046052631578948,0.0,0.0
cholera,ARIMA,3.5,1,0.3404761904761905,,0.2426470588235294,0.6875,0.14046052631578948,0.3404761904761905,0.14046052631578948,0.0,0.0
cholera,ARIMA,4.0,1,0.3483709273182957,,0.2540106951871658,0.6875,0.1338815789473684,0.3404761904761905,0.14046052631578948,0.007894736842105232,-0.006578947368421073
cholera,ARIMA,4.5,1,0.3483709273182957,,0.2540106951871658,0.6875,0.1338815789473684,0.3404761904761905,0.14046052631578948,0.007894736842105232,-0.006578947368421073
cholera,ARIMA,5.0,1,0.3669467787114846,,0.28431372549019607,0.6875,0.12072368421052632,0.3404761904761905,0.14046052631578948,0.026470588235294135,-0.019736842105263164
cholera,LSTM,2.0,10,0.16619826670961824,0.03359509998735095,0.09354430457632687,0.90625,0.7005921052631578,0.19189000447137172,0.584703947368421,-0.025691737761753486,0.11588815789473683
cholera,LSTM,2.5,10,0.17455744342495844,0.036559086855012864,0.0990357524665625,0.9,0.659407894736842,0.19189000447137172,0.584703947368421,-0.017332561046413286,0.07470394736842101
cholera,LSTM,3.0,10,0.18274650608862497,0.03527361296236371,0.10454404248586831,0.89375,0.6194736842105263,0.19189000447137172,0.584703947368421,-0.00914349838274675,0.03476973684210527
cholera,LSTM,3.5,10,0.19189000447137172,0.03662959481615828,0.11061679075446654,0.89375,0.584703947368421,0.19189000447137172,0.584703947368421,0.0,0.0
cholera,LSTM,4.0,10,0.20247393247961548,0.03533309542550212,0.11777656925507496,0.89375,0.5458881578947368,0.19189000447137172,0.584703947368421,0.01058392800824376,-0.03881578947368425
cholera,LSTM,4.5,10,0.20994090253149528,0.03382980056876932,0.12274187574689868,0.89375,0.5176973684210526,0.19189000447137172,0.584703947368421,0.018050898060123555,-0.06700657894736839
cholera,LSTM,5.0,10,0.21505393553716914,0.028675426596175304,0.12637148693904768,0.8875,0.4925986842105264,0.19189000447137172,0.584703947368421,0.023163931065797422,-0.09210526315789463
cholera,NFGA-Core,2.0,10,0.48976211699436084,0.20460103406695018,0.44704030493316205,0.7875,0.15592105263157896,0.5526151699178015,0.08957236842105262,-0.06285305292344062,0.06634868421052634
cholera,NFGA-Core,2.5,10,0.4980687836590129,0.19423722920717845,0.4677669552669553,0.76875,0.13740131578947368,0.5526151699178015,0.08957236842105262,-0.05454638625878855,0.047828947368421054
cholera,NFGA-Core,3.0,10,0.5041433011433012,0.1789250203728878,0.493430051921513,0.75,0.11930921052631578,0.5526151699178015,0.08957236842105262,-0.04847186877450027,0.02973684210526316
cholera,NFGA-Core,3.5,10,0.5526151699178015,0.15617172462281032,0.562712703962704,0.75,0.08957236842105262,0.5526151699178015,0.08957236842105262,0.0,0.0
cholera,NFGA-Core,4.0,10,0.5755381046828415,0.1507539732301138,0.6070853485628355,0.75,0.07746710526315789,0.5526151699178015,0.08957236842105262,0.022922934765040037,-0.01210526315789473
cholera,NFGA-Core,4.5,10,0.5833499176262334,0.14864092490460723,0.6269282106782107,0.7375,0.06615131578947368,0.5526151699178015,0.08957236842105262,0.030734747708431986,-0.02342105263157894
cholera,NFGA-Core,5.0,10,0.6007929953678035,0.15337503536173488,0.6578856596619754,0.73125,0.054210526315789466,0.5526151699178015,0.08957236842105262,0.04817782545000204,-0.03536184210526316
cholera,NFGA-LINEAR,2.0,10,0.5270602600014365,0.025713088363362186,0.4319191919191919,0.75,0.06845394736842106,0.5678409825468649,0.05500000000000001,-0.040780722545428416,0.013453947368421051
cholera,NFGA-LINEAR,2.5,10,0.5473601235365941,0.0403254688663264,0.45945165945165944,0.75,0.062072368421052626,0.5678409825468649,0.05500000000000001,-0.020480859010270747,0.007072368421052619
cholera,NFGA-LINEAR,3.0,10,0.5549662429074194,0.04074844779414258,0.4703968253968254,0.75,0.05950657894736842,0.5678409825468649,0.05500000000000001,-0.01287473963944552,0.00450657894736841
cholera,NFGA-LINEAR,3.5,10,0.5678409825468649,0.03644916496508282,0.48896825396825394,0.75,0.05500000000000001,0.5678409825468649,0.05500000000000001,0.0,0.0
cholera,NFGA-LINEAR,4.0,10,0.5715093729799612,0.03288364822337074,0.493968253968254,0.75,0.05371710526315789,0.5678409825468649,0.05500000000000001,0.0036683904330963024,-0.0012828947368421148
cholera,NFGA-LINEAR,4.5,10,0.5816063348416289,0.02412260581374516,0.5075396825396825,0.75,0.05052631578947368,0.5678409825468649,0.05500000000000001,0.013765352294764055,-0.004473684210526324
cholera,NFGA-LINEAR,5.0,10,0.5898717948717949,0.017738389139542357,0.5194444444444445,0.75,0.047960526315789474,0.5678409825468649,0.05500000000000001,0.022030812324929983,-0.007039473684210533
cholera,Persistence,2.0,1,0.6,,0.5357142857142857,0.75,0.04473684210526316,0.5641025641025641,0.038157894736842106,0.03589743589743588,0.006578947368421052
cholera,Persistence,2.5,1,0.6,,0.5357142857142857,0.75,0.04473684210526316,0.5641025641025641,0.038157894736842106,0.03589743589743588,0.006578947368421052
cholera,Persistence,3.0,1,0.5476190476190476,,0.5,0.6875,0.04473684210526316,0.5641025641025641,0.038157894736842106,-0.016483516483516536,0.006578947368421052
cholera,Persistence,3.5,1,0.5641025641025641,,0.55,0.6875,0.038157894736842106,0.5641025641025641,0.038157894736842106,0.0,0.0
cholera,Persistence,4.0,1,0.5641025641025641,,0.55,0.6875,0.038157894736842106,0.5641025641025641,0.038157894736842106,0.0,0.0
cholera,Persistence,4.5,1,0.5641025641025641,,0.55,0.6875,0.038157894736842106,0.5641025641025641,0.038157894736842106,0.0,0.0
cholera,Persistence,5.0,1,0.5641025641025641,,0.55,0.6875,0.038157894736842106,0.5641025641025641,0.038157894736842106,0.0,0.0
cholera,SeasonalNaive,2.0,1,0.7727272727272727,,1.0,0.6875,0.0,0.5333333333333333,0.0,0.23939393939393938,0.0
cholera,SeasonalNaive,2.5,1,0.7012987012987013,,1.0,0.5625,0.0,0.5333333333333333,0.0,0.16796536796536798,0.0
cholera,SeasonalNaive,3.0,1,0.5333333333333333,,1.0,0.375,0.0,0.5333333333333333,0.0,0.0,0.0
cholera,SeasonalNaive,3.5,1,0.5333333333333333,,1.0,0.375,0.0,0.5333333333333333,0.0,0.0,0.0
cholera,SeasonalNaive,4.0,1,0.0,,0.0,0.0,0.0,0.5333333333333333,0.0,-0.5333333333333333,0.0
cholera,SeasonalNaive,4.5,1,0.0,,0.0,0.0,0.0,0.5333333333333333,0.0,-0.5333333333333333,0.0
cholera,SeasonalNaive,5.0,1,0.0,,0.0,0.0,0.0,0.5333333333333333,0.0,-0.5333333333333333,0.0
cholera,XGBoost,2.0,10,0.20164709177891255,0.016734777270693533,0.11806083019765952,0.80625,0.43434210526315786,0.21285498775266953,0.36082236842105264,-0.011207895973756987,0.07351973684210522
cholera,XGBoost,2.5,10,0.19850500357566014,0.014252208997360842,0.11666133064177768,0.78125,0.4196052631578947,0.21285498775266953,0.36082236842105264,-0.01434998417700939,0.05878289473684206
cholera,XGBoost,3.0,10,0.20402084030073103,0.011818371264702303,0.12075156657995767,0.76875,0.392171052631579,0.21285498775266953,0.36082236842105264,-0.008834147451938501,0.031348684210526334
cholera,XGBoost,3.5,10,0.21285498775266953,0.015338899386646192,0.12745916350560488,0.75625,0.36082236842105264,0.21285498775266953,0.36082236842105264,0.0,0.0
cholera,XGBoost,4.0,10,0.21991230485038535,0.023525871860306736,0.1333761774642001,0.73125,0.3244407894736842,0.21285498775266953,0.36082236842105264,0.007057317097715815,-0.03638157894736843
cholera,XGBoost,4.5,10,0.24137229246713643,0.026828359255623872,0.14921588568136665,0.73125,0.28615131578947367,0.21285498775266953,0.36082236842105264,0.028517304714466896,-0.07467105263157897
