dataset,model,stochastic,seed,scenario,k_mad,threshold,residual_median,residual_mad,n_eval,prediction_file,TP,FP,TN,FN,n_reference_anomalies,n_detected,Precision,Recall,F1,Specificity,FalsePositiveRate,BalancedAccuracy,metric_status
cholera,Persistence,False,0,injected_5pct,2.0,708.4621999999999,194.0,173.5,84,results/stage3_statistical_baselines/predictions/cholera_persistence_injected_5pct.csv,4,4,76,0,4,8,0.5,1.0,0.6666666666666666,0.95,0.05,0.975,applicable
cholera,Persistence,False,0,injected_5pct,2.5,837.0777499999999,194.0,173.5,84,results/stage3_statistical_baselines/predictions/cholera_persistence_injected_5pct.csv,4,4,76,0,4,8,0.5,1.0,0.6666666666666666,0.95,0.05,0.975,applicable
cholera,Persistence,False,0,injected_5pct,3.0,965.6933,194.0,173.5,84,results/stage3_statistical_baselines/predictions/cholera_persistence_injected_5pct.csv,4,4,76,0,4,8,0.5,1.0,0.6666666666666666,0.95,0.05,0.975,applicable
cholera,Persistence,False,0,injected_5pct,3.5,1094.30885,194.0,173.5,84,results/stage3_statistical_baselines/predictions/cholera_persistence_injected_5pct.csv,4,4,76,0,4,8,0.5,1.0,0.6666666666666666,0.95,0.05,0.975,applicable
cholera,Persistence,False,0,injected_5pct,4.0,1222.9243999999999,194.0,173.5,84,results/stage3_statistical_baselines/predictions/cholera_persistence_injected_5pct.csv,4,4,76,0,4,8,0.5,1.0,0.6666666666666666,0.95,0.05,0.975,applicable
cholera,Persistence,False,0,injected_5pct,4.5,1351.5399499999999,194.0,173.5,84,results/stage3_statistical_baselines/predictions/cholera_persistence_injected_5pct.csv,4,4,76,0,4,8,0.5,1.0,0.6666666666666666,0.95,0.05,0.975,applicable
cholera,Persistence,False,0,injected_5pct,5.0,1480.1554999999998,194.0,173.5,84,results/stage3_statistical_baselines/predictions/cholera_persistence_injected_5pct.csv,4,4,76,0,4,8,0.5,1.0,0.6666666666666666,0.95,0.05,0.975,applicable
cholera,Persistence,False,0,injected_10pct,2.0,708.4621999999999,194.0,173.5,84,results/stage3_statistical_baselines/predictions/cholera_persistence_injected_10pct.csv,4,3,73,4,8,7,0.5714285714285714,0.5,0.5333333333333333,0.9605263157894737,0.039473684210526314,0.7302631578947368,applicable
cholera,Persistence,False,0,injected_10pct,2.5,837.0777499999999,194.0,173.5,84,results/stage3_statistical_baselines/predictions/cholera_persistence_injected_10pct.csv,4,3,73,4,8,7,0.5714285714285714,0.5,0.5333333333333333,0.9605263157894737,0.039473684210526314,0.7302631578947368,applicable
cholera,Persistence,False,0,injected_10pct,3.0,965.6933,194.0,173.5,84,results/stage3_statistical_baselines/predictions/cholera_persistence_injected_10pct.csv,3,3,73,5,8,6,0.5,0.375,0.42857142857142855,0.9605263157894737,0.039473684210526314,0.6677631578947368,applicable
cholera,Persistence,False,0,injected_10pct,3.5,1094.30885,194.0,173.5,84,results/stage3_statistical_baselines/predictions/cholera_persistence_injected_10pct.csv,3,2,74,5,8,5,0.6,0.375,0.46153846153846156,0.9736842105263158,0.02631578947368421,0.674342105263158,applicable
cholera,Persistence,False,0,injected_10pct,4.0,1222.9243999999999,194.0,173.5,84,results/stage3_statistical_baselines/predictions/cholera_persistence_injected_10pct.csv,3,2,74,5,8,5,0.6,0.375,0.46153846153846156,0.9736842105263158,0.02631578947368421,0.674342105263158,applicable
cholera,Persistence,False,0,injected_10pct,4.5,1351.5399499999999,194.0,173.5,84,results/stage3_statistical_baselines/predictions/cholera_persistence_injected_10pct.csv,3,2,74,5,8,5,0.6,0.375,0.46153846153846156,0.9736842105263158,0.02631578947368421,0.674342105263158,applicable
cholera,Persistence,False,0,injected_10pct,5.0,1480.1554999999998,194.0,173.5,84,results/stage3_statistical_baselines/predictions/cholera_persistence_injected_10pct.csv,3,2,74,5,8,5,0.6,0.375,0.46153846153846156,0.9736842105263158,0.02631578947368421,0.674342105263158,applicable
cholera,Persistence,False,0,proxy_robust_z,2.0,708.4621999999999,194.0,173.5,84,results/stage3_statistical_baselines/predictions/cholera_persistence_proxy_robust_z.csv,0,0,84,0,0,0,,,,1.0,0.0,,not_applicable_no_positive_reference
cholera,Persistence,False,0,proxy_robust_z,2.5,837.0777499999999,194.0,173.5,84,results/stage3_statistical_baselines/predictions/cholera_persistence_proxy_robust_z.csv,0,0,84,0,0,0,,,,1.0,0.0,,not_applicable_no_positive_reference
cholera,Persistence,False,0,proxy_robust_z,3.0,965.6933,194.0,173.5,84,results/stage3_statistical_baselines/predictions/cholera_persistence_proxy_robust_z.csv,0,0,84,0,0,0,,,,1.0,0.0,,not_applicable_no_positive_reference
cholera,Persistence,False,0,proxy_robust_z,3.5,1094.30885,194.0,173.5,84,results/stage3_statistical_baselines/predictions/cholera_persistence_proxy_robust_z.csv,0,0,84,0,0,0,,,,1.0,0.0,,not_applicable_no_positive_reference
cholera,Persistence,False,0,proxy_robust_z,4.0,1222.9243999999999,194.0,173.5,84,results/stage3_statistical_baselines/predictions/cholera_persistence_proxy_robust_z.csv,0,0,84,0,0,0,,,,1.0,0.0,,not_applicable_no_positive_reference
cholera,Persistence,False,0,proxy_robust_z,4.5,1351.5399499999999,194.0,173.5,84,results/stage3_statistical_baselines/predictions/cholera_persistence_proxy_robust_z.csv,0,0,84,0,0,0,,,,1.0,0.0,,not_applicable_no_positive_reference
cholera,Persistence,False,0,proxy_robust_z,5.0,1480.1554999999998,194.0,173.5,84,results/stage3_statistical_baselines/predictions/cholera_persistence_proxy_robust_z.csv,0,0,84,0,0,0,,,,1.0,0.0,,not_applicable_no_positive_reference
cholera,SeasonalNaive,False,0,injected_5pct,2.0,10838.6152,3052.0,2626.0,84,results/stage3_statistical_baselines/predictions/cholera_seasonalnaive_injected_5pct.csv,4,0,80,0,4,4,1.0,1.0,1.0,1.0,0.0,1.0,applicable
cholera,SeasonalNaive,False,0,injected_5pct,2.5,12785.268999999998,3052.0,2626.0,84,results/stage3_statistical_baselines/predictions/cholera_seasonalnaive_injected_5pct.csv,3,0,80,1,4,3,1.0,0.75,0.8571428571428571,1.0,0.0,0.875,applicable
cholera,SeasonalNaive,False,0,injected_5pct,3.0,14731.9228,3052.0,2626.0,84,results/stage3_statistical_baselines/predictions/cholera_seasonalnaive_injected_5pct.csv,2,0,80,2,4,2,1.0,0.5,0.6666666666666666,1.0,0.0,0.75,applicable
cholera,SeasonalNaive,False,0,injected_5pct,3.5,16678.5766,3052.0,2626.0,84,results/stage3_statistical_baselines/predictions/cholera_seasonalnaive_injected_5pct.csv,2,0,80,2,4,2,1.0,0.5,0.6666666666666666,1.0,0.0,0.75,applicable
cholera,SeasonalNaive,False,0,injected_5pct,4.0,18625.2304,3052.0,2626.0,84,results/stage3_statistical_baselines/predictions/cholera_seasonalnaive_injected_5pct.csv,0,0,80,4,4,0,0.0,0.0,0.0,1.0,0.0,0.5,applicable
cholera,SeasonalNaive,False,0,injected_5pct,4.5,20571.8842,3052.0,2626.0,84,results/stage3_statistical_baselines/predictions/cholera_seasonalnaive_injected_5pct.csv,0,0,80,4,4,0,0.0,0.0,0.0,1.0,0.0,0.5,applicable
cholera,SeasonalNaive,False,0,injected_5pct,5.0,22518.537999999997,3052.0,2626.0,84,results/stage3_statistical_baselines/predictions/cholera_seasonalnaive_injected_5pct.csv,0,0,80,4,4,0,0.0,0.0,0.0,1.0,0.0,0.5,applicable
cholera,SeasonalNaive,False,0,injected_10pct,2.0,10838.6152,3052.0,2626.0,84,results/stage3_statistical_baselines/predictions/cholera_seasonalnaive_injected_10pct.csv,3,0,76,5,8,3,1.0,0.375,0.5454545454545454,1.0,0.0,0.6875,applicable
cholera,SeasonalNaive,False,0,injected_10pct,2.5,12785.268999999998,3052.0,2626.0,84,results/stage3_statistical_baselines/predictions/cholera_seasonalnaive_injected_10pct.csv,3,0,76,5,8,3,1.0,0.375,0.5454545454545454,1.0,0.0,0.6875,applicable
cholera,SeasonalNaive,False,0,injected_10pct,3.0,14731.9228,3052.0,2626.0,84,results/stage3_statistical_baselines/predictions/cholera_seasonalnaive_injected_10pct.csv,2,0,76,6,8,2,1.0,0.25,0.4,1.0,0.0,0.625,applicable
cholera,SeasonalNaive,False,0,injected_10pct,3.5,16678.5766,3052.0,2626.0,84,results/stage3_statistical_baselines/predictions/cholera_seasonalnaive_injected_10pct.csv,2,0,76,6,8,2,1.0,0.25,0.4,1.0,0.0,0.625,applicable
cholera,SeasonalNaive,False,0,injected_10pct,4.0,18625.2304,3052.0,2626.0,84,results/stage3_statistical_baselines/predictions/cholera_seasonalnaive_injected_10pct.csv,0,0,76,8,8,0,0.0,0.0,0.0,1.0,0.0,0.5,applicable
