dataset,model,scenario,k_mad,n_runs,n_reference_anomalies,threshold,n_detected_mean,n_detected_std,Precision_mean,Precision_std,Recall_mean,Recall_std,F1_mean,F1_std,Specificity_mean,FalsePositiveRate_mean,BalancedAccuracy_mean,metric_status,baseline_F1_mean,baseline_FalsePositiveRate_mean,F1_change_vs_baseline,FalsePositiveRate_change_vs_baseline
cholera,ARIMA,injected_10pct,2.0,1,8,752.5222520227669,13.0,,0.3076923076923077,,0.5,,0.38095238095238093,,0.881578947368421,0.11842105263157894,0.6907894736842105,applicable,0.3,0.11842105263157894,0.08095238095238094,0.0
cholera,ARIMA,injected_10pct,2.5,1,8,888.4920712942305,12.0,,0.25,,0.375,,0.3,,0.881578947368421,0.11842105263157894,0.6282894736842105,applicable,0.3,0.11842105263157894,0.0,0.0
cholera,ARIMA,injected_10pct,3.0,1,8,1024.4618905656941,12.0,,0.25,,0.375,,0.3,,0.881578947368421,0.11842105263157894,0.6282894736842105,applicable,0.3,0.11842105263157894,0.0,0.0
cholera,ARIMA,injected_10pct,3.5,1,8,1160.4317098371575,12.0,,0.25,,0.375,,0.3,,0.881578947368421,0.11842105263157894,0.6282894736842105,applicable,0.3,0.11842105263157894,0.0,0.0
cholera,ARIMA,injected_10pct,4.0,1,8,1296.4015291086212,11.0,,0.2727272727272727,,0.375,,0.3157894736842105,,0.8947368421052632,0.10526315789473684,0.6348684210526316,applicable,0.3,0.11842105263157894,0.01578947368421052,-0.013157894736842105
cholera,ARIMA,injected_10pct,4.5,1,8,1432.3713483800848,11.0,,0.2727272727272727,,0.375,,0.3157894736842105,,0.8947368421052632,0.10526315789473684,0.6348684210526316,applicable,0.3,0.11842105263157894,0.01578947368421052,-0.013157894736842105
cholera,ARIMA,injected_10pct,5.0,1,8,1568.3411676515484,9.0,,0.3333333333333333,,0.375,,0.35294117647058826,,0.9210526315789473,0.07894736842105263,0.6480263157894737,applicable,0.3,0.11842105263157894,0.05294117647058827,-0.039473684210526314
cholera,ARIMA,injected_5pct,2.0,1,4,752.5222520227669,17.0,,0.23529411764705882,,1.0,,0.38095238095238093,,0.8375,0.1625,0.91875,applicable,0.38095238095238093,0.1625,0.0,0.0
cholera,ARIMA,injected_5pct,2.5,1,4,888.4920712942305,17.0,,0.23529411764705882,,1.0,,0.38095238095238093,,0.8375,0.1625,0.91875,applicable,0.38095238095238093,0.1625,0.0,0.0
cholera,ARIMA,injected_5pct,3.0,1,4,1024.4618905656941,17.0,,0.23529411764705882,,1.0,,0.38095238095238093,,0.8375,0.1625,0.91875,applicable,0.38095238095238093,0.1625,0.0,0.0
